model,round,symbol,Rank1,Rank2,Rank3,Rank4,Rank5
Chronos T5 Base 200M,4,IEVL.L,0.0,0.05,0.19,0.57,0.19
Chronos T5 Base 200M,4,IGF,0.0,0.0,0.07,0.46,0.47
Chronos T5 Base 200M,4,INDA,0.0,0.14,0.34,0.44,0.08
Chronos T5 Base 200M,4,IUMO.L,0.08,0.26,0.41,0.19,0.06
Chronos T5 Base 200M,4,IUVL.L,0.01,0.25,0.55,0.17,0.02
Chronos T5 Base 200M,4,IVV,0.0,0.13,0.21,0.48,0.18
Chronos T5 Base 200M,4,IWM,0.79,0.18,0.03,0.0,0.0
Chronos T5 Base 200M,4,IXN,0.16,0.51,0.2,0.12,0.01
Chronos T5 Base 200M,4,JPEA.L,0.0,0.2,0.32,0.26,0.22
Chronos T5 Base 200M,4,JPM,0.64,0.33,0.03,0.0,0.0
Chronos T5 Base 200M,4,KR,0.0,0.01,0.03,0.18,0.78
Chronos T5 Base 200M,4,LQD,0.0,0.04,0.34,0.39,0.23
Chronos T5 Base 200M,4,MCHI,0.89,0.09,0.01,0.0,0.01
Chronos T5 Base 200M,4,META,0.71,0.2,0.08,0.01,0.0
Chronos T5 Base 200M,4,MVEU.L,0.0,0.0,0.0,0.0,1.0
Chronos T5 Base 200M,4,OGN,0.02,0.14,0.22,0.39,0.23
Chronos T5 Base 200M,4,PG,0.0,0.4,0.42,0.15,0.03
Chronos T5 Base 200M,4,PPL,0.81,0.17,0.02,0.0,0.0
Chronos T5 Base 200M,4,PRU,0.12,0.28,0.22,0.24,0.14
Chronos T5 Base 200M,4,PYPL,0.83,0.07,0.06,0.04,0.0
Chronos T5 Base 200M,4,RE,0.04,0.22,0.36,0.31,0.07
Chronos T5 Base 200M,4,REET,0.0,0.06,0.21,0.5,0.23
Chronos T5 Base 200M,4,ROL,0.0,0.0,0.01,0.06,0.93
Chronos T5 Base 200M,4,ROST,0.37,0.29,0.15,0.12,0.07
Chronos T5 Base 200M,4,SEGA.L,0.02,0.88,0.1,0.0,0.0
Chronos T5 Base 200M,4,SHY,0.0,0.04,0.82,0.14,0.0
Chronos T5 Base 200M,4,SLV,0.03,0.15,0.19,0.24,0.39
Chronos T5 Base 200M,4,SPMV.L,0.0,0.0,0.02,0.27,0.71
Chronos T5 Base 200M,4,TLT,0.48,0.45,0.07,0.0,0.0
Chronos T5 Base 200M,4,UNH,0.01,0.1,0.34,0.28,0.27
Chronos T5 Base 200M,4,URI,0.76,0.14,0.07,0.0,0.03
Chronos T5 Base 200M,4,V,0.12,0.39,0.29,0.18,0.02
Chronos T5 Base 200M,4,VRSK,0.0,0.08,0.16,0.36,0.4
Chronos T5 Base 200M,4,VXX,1.0,0.0,0.0,0.0,0.0
Chronos T5 Base 200M,4,WRK,0.4,0.33,0.16,0.08,0.03
Chronos T5 Base 200M,4,XLB,0.05,0.35,0.42,0.14,0.04
Chronos T5 Base 200M,4,XLC,0.27,0.5,0.2,0.03,0.0
Chronos T5 Base 200M,4,XLE,0.01,0.06,0.11,0.2,0.62
Chronos T5 Base 200M,4,XLF,0.51,0.4,0.08,0.01,0.0
Chronos T5 Base 200M,4,XLI,0.0,0.14,0.41,0.36,0.09
Chronos T5 Base 200M,4,XLK,0.23,0.39,0.19,0.08,0.11
Chronos T5 Base 200M,4,XLP,0.0,0.0,0.27,0.66,0.07
Chronos T5 Base 200M,4,XLU,0.0,0.0,0.15,0.51,0.34
Chronos T5 Base 200M,4,XLV,0.01,0.2,0.33,0.35,0.11
Chronos T5 Base 200M,4,XLY,0.03,0.24,0.3,0.22,0.21
Chronos T5 Base 200M,4,XOM,0.0,0.0,0.0,0.01,0.99
Chronos T5 Base 200M,5,ABBV,0.0,0.03,0.03,0.09,0.85
Chronos T5 Base 200M,5,ACN,0.04,0.18,0.25,0.33,0.2
Chronos T5 Base 200M,5,AEP,0.0,0.0,0.15,0.49,0.36
Chronos T5 Base 200M,5,AIZ,0.02,0.23,0.27,0.3,0.18
Chronos T5 Base 200M,5,ALLE,0.65,0.27,0.05,0.03,0.0
Chronos T5 Base 200M,5,AMAT,0.07,0.13,0.11,0.17,0.52
Chronos T5 Base 200M,5,AMP,0.54,0.32,0.07,0.04,0.03
Chronos T5 Base 200M,5,AMZN,0.1,0.23,0.34,0.2,0.13
Chronos T5 Base 200M,5,AVB,0.56,0.35,0.08,0.01,0.0
Chronos T5 Base 200M,5,AVY,0.5,0.33,0.13,0.01,0.03
Chronos T5 Base 200M,5,AXP,0.06,0.15,0.2,0.23,0.36
Chronos T5 Base 200M,5,BDX,0.03,0.23,0.38,0.26,0.1
Chronos T5 Base 200M,5,BF-B,0.0,0.02,0.19,0.33,0.46
Chronos T5 Base 200M,5,BMY,0.0,0.12,0.29,0.37,0.22
Chronos T5 Base 200M,5,BR,0.33,0.4,0.18,0.08,0.01
Chronos T5 Base 200M,5,CARR,0.93,0.07,0.0,0.0,0.0
Chronos T5 Base 200M,5,CDW,0.37,0.23,0.23,0.1,0.07
Chronos T5 Base 200M,5,CE,0.18,0.28,0.28,0.17,0.09
Chronos T5 Base 200M,5,CHTR,0.0,0.05,0.13,0.3,0.52
Chronos T5 Base 200M,5,CNC,0.27,0.46,0.16,0.07,0.04
Chronos T5 Base 200M,5,CNP,0.01,0.05,0.18,0.3,0.46
Chronos T5 Base 200M,5,COP,0.37,0.19,0.15,0.17,0.12
Chronos T5 Base 200M,5,CTAS,0.09,0.14,0.25,0.23,0.29
Chronos T5 Base 200M,5,CZR,1.0,0.0,0.0,0.0,0.0
Chronos T5 Base 200M,5,DG,0.0,0.08,0.19,0.37,0.36
Chronos T5 Base 200M,5,DPZ,0.16,0.46,0.26,0.09,0.03
Chronos T5 Base 200M,5,DRE,0.06,0.26,0.37,0.22,0.09
Chronos T5 Base 200M,5,DXC,0.57,0.26,0.06,0.09,0.02
Chronos T5 Base 200M,5,EWA,0.0,0.0,0.11,0.31,0.58
Chronos T5 Base 200M,5,EWC,0.0,0.05,0.14,0.2,0.61
Chronos T5 Base 200M,5,EWG,0.16,0.4,0.28,0.12,0.04
Chronos T5 Base 200M,5,EWH,0.02,0.56,0.34,0.08,0.0
Chronos T5 Base 200M,5,EWJ,0.0,0.11,0.46,0.3,0.13
Chronos T5 Base 200M,5,EWL,0.08,0.38,0.38,0.13,0.03
Chronos T5 Base 200M,5,EWQ,0.03,0.18,0.48,0.25,0.06
Chronos T5 Base 200M,5,EWT,0.08,0.35,0.22,0.24,0.11
Chronos T5 Base 200M,5,EWU,0.0,0.08,0.35,0.3,0.27
Chronos T5 Base 200M,5,EWY,0.8,0.19,0.01,0.0,0.0
Chronos T5 Base 200M,5,EWZ,0.04,0.05,0.19,0.27,0.45
Chronos T5 Base 200M,5,FTV,0.11,0.25,0.24,0.21,0.19
Chronos T5 Base 200M,5,GOOG,0.22,0.28,0.19,0.15,0.16
Chronos T5 Base 200M,5,GPC,0.0,0.01,0.04,0.18,0.77
Chronos T5 Base 200M,5,GSG,0.0,0.0,0.0,0.0,1.0
Chronos T5 Base 200M,5,HIG,0.97,0.03,0.0,0.0,0.0
Chronos T5 Base 200M,5,HIGH.L,0.0,0.01,0.08,0.46,0.45
Chronos T5 Base 200M,5,HST,0.78,0.12,0.06,0.02,0.02
Chronos T5 Base 200M,5,HYG,0.0,0.02,0.21,0.64,0.13
Chronos T5 Base 200M,5,IAU,0.0,0.0,0.08,0.4,0.52
Chronos T5 Base 200M,5,ICLN,0.7,0.13,0.11,0.03,0.03
Chronos T5 Base 200M,5,IEAA.L,0.0,0.0,0.1,0.66,0.24
Chronos T5 Base 200M,5,IEF,0.04,0.65,0.3,0.01,0.0
Chronos T5 Base 200M,5,IEFM.L,0.43,0.51,0.05,0.01,0.0
Chronos T5 Base 200M,5,IEMG,0.29,0.4,0.19,0.08,0.04
Chronos T5 Base 200M,5,IEUS,0.02,0.18,0.34,0.31,0.15
Chronos T5 Base 200M,5,IEVL.L,0.0,0.0,0.1,0.48,0.42
Chronos T5 Base 200M,5,IGF,0.0,0.15,0.42,0.3,0.13
Chronos T5 Base 200M,5,INDA,0.0,0.03,0.15,0.51,0.31
Chronos T5 Base 200M,5,IUMO.L,0.05,0.23,0.41,0.24,0.07
Chronos T5 Base 200M,5,IUVL.L,0.27,0.55,0.14,0.04,0.0
Chronos T5 Base 200M,5,IVV,0.0,0.01,0.02,0.04,0.93
Chronos T5 Base 200M,5,IWM,0.22,0.46,0.21,0.07,0.04
Chronos T5 Base 200M,5,IXN,0.25,0.31,0.21,0.18,0.05
Chronos T5 Base 200M,5,JPEA.L,0.0,0.01,0.12,0.34,0.53
Chronos T5 Base 200M,5,JPM,0.72,0.19,0.06,0.03,0.0
Chronos T5 Base 200M,5,KR,0.01,0.1,0.36,0.31,0.22
Chronos T5 Base 200M,5,LQD,0.0,0.13,0.55,0.29,0.03
Chronos T5 Base 200M,5,MCHI,0.85,0.13,0.01,0.01,0.0
Chronos T5 Base 200M,5,META,0.79,0.13,0.05,0.03,0.0
Chronos T5 Base 200M,5,MVEU.L,0.02,0.46,0.38,0.13,0.01
Chronos T5 Base 200M,5,OGN,0.04,0.12,0.27,0.18,0.39
Chronos T5 Base 200M,5,PG,0.0,0.23,0.43,0.32,0.02
Chronos T5 Base 200M,5,PPL,0.28,0.57,0.12,0.02,0.01
Chronos T5 Base 200M,5,PRU,0.08,0.24,0.3,0.23,0.15
Chronos T5 Base 200M,5,PYPL,0.49,0.2,0.15,0.08,0.08
Chronos T5 Base 200M,5,RE,0.08,0.3,0.22,0.25,0.15
Chronos T5 Base 200M,5,REET,0.0,0.04,0.19,0.46,0.31
Chronos T5 Base 200M,5,ROL,0.01,0.02,0.05,0.16,0.76
Chronos T5 Base 200M,5,ROST,0.33,0.19,0.22,0.14,0.12
Chronos T5 Base 200M,5,SEGA.L,0.0,0.21,0.7,0.09,0.0
Chronos T5 Base 200M,5,SHY,0.0,0.05,0.69,0.25,0.01
Chronos T5 Base 200M,5,SLV,0.02,0.17,0.22,0.29,0.3
Chronos T5 Base 200M,5,SPMV.L,0.0,0.01,0.27,0.54,0.18
Chronos T5 Base 200M,5,TLT,0.09,0.59,0.19,0.12,0.01
Chronos T5 Base 200M,5,UNH,0.15,0.38,0.16,0.22,0.09
Chronos T5 Base 200M,5,URI,0.35,0.17,0.13,0.15,0.2
Chronos T5 Base 200M,5,V,0.02,0.22,0.37,0.23,0.16
Chronos T5 Base 200M,5,VRSK,0.0,0.01,0.02,0.19,0.78
Chronos T5 Base 200M,5,VXX,1.0,0.0,0.0,0.0,0.0
Chronos T5 Base 200M,5,WRK,0.48,0.39,0.06,0.04,0.03
Chronos T5 Base 200M,5,XLB,0.11,0.34,0.25,0.26,0.04
Chronos T5 Base 200M,5,XLC,0.52,0.4,0.07,0.01,0.0
Chronos T5 Base 200M,5,XLE,0.19,0.37,0.29,0.11,0.04
Chronos T5 Base 200M,5,XLF,0.32,0.45,0.1,0.11,0.02
Chronos T5 Base 200M,5,XLI,0.04,0.17,0.2,0.26,0.33
Chronos T5 Base 200M,5,XLK,0.28,0.38,0.21,0.1,0.03
Chronos T5 Base 200M,5,XLP,0.0,0.0,0.08,0.66,0.26
Chronos T5 Base 200M,5,XLU,0.0,0.04,0.34,0.37,0.25
Chronos T5 Base 200M,5,XLV,0.0,0.03,0.21,0.42,0.34
Chronos T5 Base 200M,5,XLY,0.03,0.15,0.19,0.17,0.46
Chronos T5 Base 200M,5,XOM,0.23,0.21,0.18,0.16,0.22
Chronos T5 Base 200M,6,ABBV,0.0,0.02,0.05,0.22,0.71
Chronos T5 Base 200M,6,ACN,0.01,0.11,0.33,0.29,0.26
Chronos T5 Base 200M,6,AEP,0.0,0.0,0.0,0.04,0.96
Chronos T5 Base 200M,6,AIZ,0.0,0.0,0.0,0.01,0.99
Chronos T5 Base 200M,6,ALLE,0.63,0.28,0.06,0.03,0.0
Chronos T5 Base 200M,6,AMAT,0.18,0.12,0.15,0.2,0.35
Chronos T5 Base 200M,6,AMP,0.27,0.44,0.15,0.09,0.05
Chronos T5 Base 200M,6,AMZN,0.23,0.39,0.15,0.17,0.06
Chronos T5 Base 200M,6,AVB,0.01,0.14,0.25,0.32,0.28
Chronos T5 Base 200M,6,AVY,0.45,0.35,0.14,0.06,0.0
Chronos T5 Base 200M,6,AXP,0.27,0.17,0.21,0.23,0.12
Chronos T5 Base 200M,6,BDX,0.05,0.29,0.4,0.23,0.03
Chronos T5 Base 200M,6,BF-B,0.01,0.26,0.37,0.27,0.09
Chronos T5 Base 200M,6,BMY,0.07,0.23,0.39,0.23,0.08
Chronos T5 Base 200M,6,BR,0.34,0.34,0.27,0.04,0.01
Chronos T5 Base 200M,6,CARR,0.16,0.24,0.24,0.21,0.15
Chronos T5 Base 200M,6,CDW,0.14,0.28,0.21,0.25,0.12
Chronos T5 Base 200M,6,CE,0.11,0.28,0.24,0.26,0.11
Chronos T5 Base 200M,6,CHTR,0.01,0.06,0.16,0.31,0.46
Chronos T5 Base 200M,6,CNC,0.22,0.29,0.19,0.18,0.12
Chronos T5 Base 200M,6,CNP,0.0,0.0,0.02,0.2,0.78
Chronos T5 Base 200M,6,COP,0.29,0.2,0.21,0.21,0.09
Chronos T5 Base 200M,6,CTAS,0.05,0.14,0.2,0.3,0.31
Chronos T5 Base 200M,6,CZR,1.0,0.0,0.0,0.0,0.0
Chronos T5 Base 200M,6,DG,0.0,0.0,0.04,0.19,0.77
Chronos T5 Base 200M,6,DPZ,0.33,0.37,0.2,0.09,0.01
Chronos T5 Base 200M,6,DRE,0.1,0.35,0.29,0.24,0.02
Chronos T5 Base 200M,6,DXC,0.77,0.13,0.04,0.04,0.02
Chronos T5 Base 200M,6,EWA,0.0,0.01,0.08,0.47,0.44
Chronos T5 Base 200M,6,EWC,0.0,0.0,0.0,0.0,1.0
Chronos T5 Base 200M,6,EWG,0.05,0.17,0.38,0.31,0.09
Chronos T5 Base 200M,6,EWH,0.04,0.54,0.3,0.11,0.01
Chronos T5 Base 200M,6,EWJ,0.0,0.08,0.3,0.52,0.1
Chronos T5 Base 200M,6,EWL,0.0,0.19,0.38,0.36,0.07
Chronos T5 Base 200M,6,EWQ,0.15,0.3,0.34,0.19,0.02
Chronos T5 Base 200M,6,EWT,0.18,0.48,0.23,0.09,0.02
Chronos T5 Base 200M,6,EWU,0.0,0.04,0.11,0.53,0.32
Chronos T5 Base 200M,6,EWY,0.83,0.17,0.0,0.0,0.0
Chronos T5 Base 200M,6,EWZ,0.07,0.18,0.2,0.27,0.28
Chronos T5 Base 200M,6,FTV,0.1,0.25,0.27,0.23,0.15
Chronos T5 Base 200M,6,GOOG,0.19,0.3,0.16,0.21,0.14
Chronos T5 Base 200M,6,GPC,0.0,0.03,0.1,0.3,0.57
Chronos T5 Base 200M,6,GSG,0.0,0.02,0.05,0.14,0.79
Chronos T5 Base 200M,6,HIG,0.65,0.23,0.11,0.01,0.0
Chronos T5 Base 200M,6,HIGH.L,0.0,0.01,0.29,0.54,0.16
Chronos T5 Base 200M,6,HST,0.93,0.06,0.01,0.0,0.0
Chronos T5 Base 200M,6,HYG,0.02,0.31,0.48,0.19,0.0
Chronos T5 Base 200M,6,IAU,0.0,0.16,0.38,0.39,0.07
Chronos T5 Base 200M,6,ICLN,0.56,0.23,0.13,0.07,0.01
Chronos T5 Base 200M,6,IEAA.L,0.0,0.01,0.26,0.65,0.08
Chronos T5 Base 200M,6,IEF,0.05,0.64,0.28,0.03,0.0
Chronos T5 Base 200M,6,IEFM.L,0.03,0.18,0.42,0.31,0.06
Chronos T5 Base 200M,6,IEMG,0.42,0.45,0.09,0.04,0.0
Chronos T5 Base 200M,6,IEUS,0.0,0.02,0.06,0.1,0.82
Chronos T5 Base 200M,6,IEVL.L,0.02,0.14,0.47,0.31,0.06
Chronos T5 Base 200M,6,IGF,0.0,0.0,0.0,0.06,0.94
Chronos T5 Base 200M,6,INDA,0.0,0.05,0.27,0.46,0.22
Chronos T5 Base 200M,6,IUMO.L,0.06,0.22,0.3,0.3,0.12
Chronos T5 Base 200M,6,IUVL.L,0.07,0.36,0.27,0.25,0.05
Chronos T5 Base 200M,6,IVV,0.0,0.07,0.16,0.38,0.39
Chronos T5 Base 200M,6,IWM,0.29,0.36,0.25,0.1,0.0
Chronos T5 Base 200M,6,IXN,0.07,0.15,0.23,0.24,0.31
Chronos T5 Base 200M,6,JPEA.L,0.01,0.2,0.36,0.24,0.19
Chronos T5 Base 200M,6,JPM,0.5,0.3,0.14,0.05,0.01
Chronos T5 Base 200M,6,KR,0.05,0.24,0.22,0.31,0.18
Chronos T5 Base 200M,6,LQD,0.0,0.28,0.48,0.22,0.02
Chronos T5 Base 200M,6,MCHI,0.88,0.08,0.03,0.0,0.01
Chronos T5 Base 200M,6,META,0.93,0.05,0.02,0.0,0.0
Chronos T5 Base 200M,6,MVEU.L,0.0,0.0,0.0,0.0,1.0
Chronos T5 Base 200M,6,OGN,0.29,0.33,0.19,0.13,0.06
Chronos T5 Base 200M,6,PG,0.03,0.43,0.4,0.13,0.01
Chronos T5 Base 200M,6,PPL,0.39,0.45,0.09,0.07,0.0
Chronos T5 Base 200M,6,PRU,0.18,0.28,0.28,0.17,0.09
Chronos T5 Base 200M,6,PYPL,0.67,0.18,0.08,0.04,0.03
Chronos T5 Base 200M,6,RE,0.03,0.28,0.23,0.33,0.13
Chronos T5 Base 200M,6,REET,0.0,0.02,0.16,0.36,0.46
Chronos T5 Base 200M,6,ROL,0.0,0.05,0.06,0.23,0.66
Chronos T5 Base 200M,6,ROST,0.5,0.26,0.15,0.09,0.0
Chronos T5 Base 200M,6,SEGA.L,0.0,0.18,0.72,0.1,0.0
Chronos T5 Base 200M,6,SHY,0.0,0.01,0.34,0.63,0.02
Chronos T5 Base 200M,6,SLV,0.31,0.33,0.13,0.17,0.06
Chronos T5 Base 200M,6,SPMV.L,0.0,0.05,0.35,0.46,0.14
Chronos T5 Base 200M,6,TLT,0.45,0.51,0.04,0.0,0.0
Chronos T5 Base 200M,6,UNH,0.05,0.18,0.17,0.29,0.31
Chronos T5 Base 200M,6,URI,0.36,0.16,0.11,0.25,0.12
Chronos T5 Base 200M,6,V,0.02,0.32,0.24,0.29,0.13
Chronos T5 Base 200M,6,VRSK,0.0,0.01,0.12,0.3,0.57
Chronos T5 Base 200M,6,VXX,1.0,0.0,0.0,0.0,0.0
Chronos T5 Base 200M,6,WRK,0.79,0.14,0.06,0.01,0.0
Chronos T5 Base 200M,6,XLB,0.06,0.31,0.38,0.21,0.04
Chronos T5 Base 200M,6,XLC,0.32,0.46,0.16,0.06,0.0
Chronos T5 Base 200M,6,XLE,0.49,0.28,0.13,0.09,0.01
Chronos T5 Base 200M,6,XLF,0.32,0.43,0.19,0.06,0.0
Chronos T5 Base 200M,6,XLI,0.07,0.28,0.29,0.26,0.1
Chronos T5 Base 200M,6,XLK,0.18,0.26,0.24,0.17,0.15
Chronos T5 Base 200M,6,XLP,0.0,0.0,0.35,0.6,0.05
Chronos T5 Base 200M,6,XLU,0.0,0.0,0.01,0.04,0.95
Chronos T5 Base 200M,6,XLV,0.01,0.15,0.41,0.32,0.11
Chronos T5 Base 200M,6,XLY,0.08,0.29,0.27,0.21,0.15
Chronos T5 Base 200M,6,XOM,0.55,0.33,0.08,0.04,0.0
Chronos T5 Base 200M,7,ABBV,0.0,0.0,0.0,0.02,0.98
Chronos T5 Base 200M,7,ACN,0.01,0.14,0.25,0.28,0.32
Chronos T5 Base 200M,7,AEP,0.0,0.0,0.01,0.18,0.81
Chronos T5 Base 200M,7,AIZ,0.0,0.0,0.05,0.16,0.79
Chronos T5 Base 200M,7,ALLE,0.61,0.27,0.08,0.04,0.0
Chronos T5 Base 200M,7,AMAT,0.15,0.15,0.1,0.16,0.44
Chronos T5 Base 200M,7,AMP,0.78,0.14,0.06,0.02,0.0
Chronos T5 Base 200M,7,AMZN,0.13,0.32,0.23,0.23,0.09
Chronos T5 Base 200M,7,AVB,0.02,0.18,0.28,0.21,0.31
Chronos T5 Base 200M,7,AVY,0.18,0.42,0.25,0.11,0.04
Chronos T5 Base 200M,7,AXP,0.46,0.24,0.17,0.08,0.05
Chronos T5 Base 200M,7,BDX,0.0,0.13,0.29,0.38,0.2
Chronos T5 Base 200M,7,BF-B,0.02,0.32,0.32,0.29,0.05
Chronos T5 Base 200M,7,BMY,0.05,0.32,0.33,0.22,0.08
Chronos T5 Base 200M,7,BR,0.27,0.47,0.18,0.07,0.01
Chronos T5 Base 200M,7,CARR,0.66,0.22,0.09,0.03,0.0
Chronos T5 Base 200M,7,CDW,0.04,0.17,0.28,0.17,0.34
Chronos T5 Base 200M,7,CE,0.84,0.14,0.01,0.01,0.0
Chronos T5 Base 200M,7,CHTR,0.06,0.26,0.26,0.24,0.18
Chronos T5 Base 200M,7,CNC,0.1,0.29,0.2,0.2,0.21
Chronos T5 Base 200M,7,CNP,0.0,0.0,0.02,0.11,0.87
Chronos T5 Base 200M,7,COP,0.11,0.13,0.16,0.23,0.37
Chronos T5 Base 200M,7,CTAS,0.01,0.03,0.11,0.26,0.59
Chronos T5 Base 200M,7,CZR,1.0,0.0,0.0,0.0,0.0
Chronos T5 Base 200M,7,DG,0.0,0.0,0.04,0.26,0.7
Chronos T5 Base 200M,7,DPZ,0.32,0.4,0.22,0.06,0.0
Chronos T5 Base 200M,7,DRE,0.01,0.17,0.35,0.29,0.18
Chronos T5 Base 200M,7,DXC,0.75,0.1,0.06,0.06,0.03
Chronos T5 Base 200M,7,EWA,0.02,0.25,0.49,0.2,0.04
Chronos T5 Base 200M,7,EWC,0.21,0.54,0.24,0.01,0.0
Chronos T5 Base 200M,7,EWG,0.18,0.63,0.11,0.08,0.0
Chronos T5 Base 200M,7,EWH,0.02,0.44,0.42,0.1,0.02
Chronos T5 Base 200M,7,EWJ,0.0,0.13,0.47,0.33,0.07
Chronos T5 Base 200M,7,EWL,0.06,0.32,0.42,0.19,0.01
Chronos T5 Base 200M,7,EWQ,0.02,0.19,0.4,0.31,0.08
Chronos T5 Base 200M,7,EWT,0.17,0.51,0.19,0.12,0.01
Chronos T5 Base 200M,7,EWU,0.0,0.04,0.27,0.47,0.22
Chronos T5 Base 200M,7,EWY,0.67,0.24,0.06,0.03,0.0
Chronos T5 Base 200M,7,EWZ,0.0,0.11,0.15,0.31,0.43
Chronos T5 Base 200M,7,FTV,0.21,0.38,0.21,0.13,0.07
Chronos T5 Base 200M,7,GOOG,0.09,0.26,0.26,0.17,0.22
Chronos T5 Base 200M,7,GPC,0.0,0.0,0.03,0.09,0.88
Chronos T5 Base 200M,7,GSG,0.0,0.0,0.0,0.02,0.98
Chronos T5 Base 200M,7,HIG,0.74,0.23,0.02,0.01,0.0
Chronos T5 Base 200M,7,HIGH.L,0.0,0.0,0.08,0.67,0.25
Chronos T5 Base 200M,7,HST,0.89,0.08,0.03,0.0,0.0
Chronos T5 Base 200M,7,HYG,0.0,0.16,0.47,0.34,0.03
Chronos T5 Base 200M,7,IAU,0.0,0.07,0.41,0.42,0.1
Chronos T5 Base 200M,7,ICLN,0.69,0.17,0.11,0.02,0.01
Chronos T5 Base 200M,7,IEAA.L,0.0,0.0,0.24,0.55,0.21
Chronos T5 Base 200M,7,IEF,0.0,0.03,0.46,0.35,0.16
Chronos T5 Base 200M,7,IEFM.L,0.0,0.11,0.34,0.46,0.09
Chronos T5 Base 200M,7,IEMG,0.19,0.59,0.19,0.03,0.0
Chronos T5 Base 200M,7,IEUS,0.06,0.51,0.32,0.08,0.03
Chronos T5 Base 200M,7,IEVL.L,0.0,0.04,0.21,0.58,0.17
Chronos T5 Base 200M,7,IGF,0.0,0.01,0.25,0.47,0.27
Chronos T5 Base 200M,7,INDA,0.0,0.05,0.16,0.49,0.3
Chronos T5 Base 200M,7,IUMO.L,0.12,0.36,0.34,0.17,0.01
Chronos T5 Base 200M,7,IUVL.L,0.06,0.34,0.31,0.25,0.04
Chronos T5 Base 200M,7,IVV,0.0,0.03,0.24,0.31,0.42
Chronos T5 Base 200M,7,IWM,0.07,0.43,0.25,0.22,0.03
Chronos T5 Base 200M,7,IXN,0.04,0.31,0.32,0.21,0.12
Chronos T5 Base 200M,7,JPEA.L,0.01,0.16,0.38,0.22,0.23
Chronos T5 Base 200M,7,JPM,0.95,0.05,0.0,0.0,0.0
Chronos T5 Base 200M,7,KR,0.03,0.12,0.26,0.31,0.28
Chronos T5 Base 200M,7,LQD,0.01,0.31,0.35,0.25,0.08
Chronos T5 Base 200M,7,MCHI,0.88,0.1,0.01,0.0,0.01
Chronos T5 Base 200M,7,META,0.99,0.01,0.0,0.0,0.0
Chronos T5 Base 200M,7,MVEU.L,0.0,0.0,0.0,0.0,1.0
Chronos T5 Base 200M,7,OGN,0.21,0.36,0.2,0.15,0.08
Chronos T5 Base 200M,7,PG,0.0,0.13,0.31,0.42,0.14
Chronos T5 Base 200M,7,PPL,0.29,0.57,0.13,0.01,0.0
Chronos T5 Base 200M,7,PRU,0.23,0.47,0.18,0.07,0.05
Chronos T5 Base 200M,7,PYPL,0.2,0.23,0.19,0.13,0.25
Chronos T5 Base 200M,7,RE,0.02,0.11,0.29,0.29,0.29
Chronos T5 Base 200M,7,REET,0.01,0.12,0.44,0.33,0.1
Chronos T5 Base 200M,7,ROL,0.01,0.05,0.09,0.19,0.66
Chronos T5 Base 200M,7,ROST,0.39,0.32,0.15,0.1,0.04
Chronos T5 Base 200M,7,SEGA.L,0.0,0.32,0.61,0.07,0.0
Chronos T5 Base 200M,7,SHY,0.0,0.0,0.13,0.65,0.22
Chronos T5 Base 200M,7,SLV,0.44,0.29,0.15,0.12,0.0
Chronos T5 Base 200M,7,SPMV.L,0.0,0.01,0.15,0.56,0.28
Chronos T5 Base 200M,7,TLT,0.09,0.36,0.26,0.22,0.07
Chronos T5 Base 200M,7,UNH,0.02,0.13,0.26,0.31,0.28
Chronos T5 Base 200M,7,URI,0.62,0.2,0.09,0.06,0.03
Chronos T5 Base 200M,7,V,0.01,0.23,0.26,0.35,0.15
Chronos T5 Base 200M,7,VRSK,0.0,0.0,0.02,0.03,0.95
Chronos T5 Base 200M,7,VXX,1.0,0.0,0.0,0.0,0.0
Chronos T5 Base 200M,7,WRK,0.34,0.31,0.2,0.09,0.06
Chronos T5 Base 200M,7,XLB,0.56,0.36,0.07,0.01,0.0
Chronos T5 Base 200M,7,XLC,0.16,0.52,0.25,0.06,0.01
Chronos T5 Base 200M,7,XLE,0.08,0.17,0.23,0.28,0.24
Chronos T5 Base 200M,7,XLF,0.82,0.18,0.0,0.0,0.0
Chronos T5 Base 200M,7,XLI,0.3,0.52,0.14,0.03,0.01
Chronos T5 Base 200M,7,XLK,0.15,0.25,0.27,0.25,0.08
Chronos T5 Base 200M,7,XLP,0.0,0.0,0.22,0.69,0.09
Chronos T5 Base 200M,7,XLU,0.0,0.01,0.14,0.44,0.41
Chronos T5 Base 200M,7,XLV,0.01,0.08,0.33,0.29,0.29
Chronos T5 Base 200M,7,XLY,0.04,0.16,0.23,0.26,0.31
Chronos T5 Base 200M,7,XOM,0.04,0.22,0.14,0.2,0.4
Chronos T5 Base 200M,8,ABBV,0.0,0.0,0.0,0.0,1.0
Chronos T5 Base 200M,8,ACN,0.04,0.19,0.24,0.29,0.24
Chronos T5 Base 200M,8,AEP,0.0,0.0,0.0,0.02,0.98
Chronos T5 Base 200M,8,AIZ,0.05,0.29,0.27,0.3,0.09
Chronos T5 Base 200M,8,ALLE,0.81,0.15,0.04,0.0,0.0
Chronos T5 Base 200M,8,AMAT,0.16,0.15,0.12,0.15,0.42
Chronos T5 Base 200M,8,AMP,0.26,0.46,0.14,0.09,0.05
Chronos T5 Base 200M,8,AMZN,0.23,0.31,0.23,0.18,0.05
