model,round,symbol,Rank1,Rank2,Rank3,Rank4,Rank5
Financial Chronos Small 46M 2021 Global,4,AMZN,0.08,0.29,0.34,0.22,0.07
Financial Chronos Small 46M 2021 Global,4,AVB,0.12,0.23,0.22,0.26,0.17
Financial Chronos Small 46M 2021 Global,4,AVY,0.45,0.2,0.19,0.12,0.04
Financial Chronos Small 46M 2021 Global,4,AXP,0.28,0.15,0.12,0.12,0.33
Financial Chronos Small 46M 2021 Global,4,BDX,0.16,0.3,0.33,0.16,0.05
Financial Chronos Small 46M 2021 Global,4,BF-B,0.08,0.29,0.26,0.21,0.16
Financial Chronos Small 46M 2021 Global,4,BMY,0.03,0.12,0.31,0.41,0.13
Financial Chronos Small 46M 2021 Global,4,BR,0.1,0.21,0.23,0.21,0.25
Financial Chronos Small 46M 2021 Global,4,CARR,0.21,0.29,0.28,0.16,0.06
Financial Chronos Small 46M 2021 Global,4,CDW,0.29,0.3,0.28,0.11,0.02
Financial Chronos Small 46M 2021 Global,4,CE,0.36,0.18,0.17,0.14,0.15
Financial Chronos Small 46M 2021 Global,4,CHTR,0.32,0.14,0.12,0.1,0.32
Financial Chronos Small 46M 2021 Global,4,CNC,0.07,0.17,0.27,0.24,0.25
Financial Chronos Small 46M 2021 Global,4,CNP,0.12,0.31,0.06,0.2,0.31
Financial Chronos Small 46M 2021 Global,4,COP,0.05,0.25,0.19,0.29,0.22
Financial Chronos Small 46M 2021 Global,4,CTAS,0.22,0.24,0.3,0.13,0.11
Financial Chronos Small 46M 2021 Global,4,CZR,0.67,0.07,0.06,0.05,0.15
Financial Chronos Small 46M 2021 Global,4,DG,0.07,0.21,0.41,0.15,0.16
Financial Chronos Small 46M 2021 Global,4,DPZ,0.09,0.27,0.38,0.16,0.1
Financial Chronos Small 46M 2021 Global,4,DRE,0.03,0.21,0.4,0.27,0.09
Financial Chronos Small 46M 2021 Global,4,DXC,0.22,0.21,0.06,0.25,0.26
Financial Chronos Small 46M 2021 Global,4,EWA,0.14,0.2,0.12,0.12,0.42
Financial Chronos Small 46M 2021 Global,4,EWC,0.19,0.25,0.17,0.21,0.18
Financial Chronos Small 46M 2021 Global,4,EWG,0.41,0.17,0.08,0.12,0.22
Financial Chronos Small 46M 2021 Global,4,EWH,0.26,0.13,0.14,0.14,0.33
Financial Chronos Small 46M 2021 Global,4,EWJ,0.13,0.2,0.22,0.28,0.17
Financial Chronos Small 46M 2021 Global,4,EWL,0.3,0.13,0.1,0.21,0.26
Financial Chronos Small 46M 2021 Global,4,EWQ,0.34,0.27,0.13,0.17,0.09
Financial Chronos Small 46M 2021 Global,4,EWT,0.14,0.21,0.19,0.23,0.23
Financial Chronos Small 46M 2021 Global,4,EWU,0.07,0.19,0.14,0.22,0.38
Financial Chronos Small 46M 2021 Global,4,EWY,0.45,0.3,0.1,0.09,0.06
Financial Chronos Small 46M 2021 Global,4,EWZ,0.16,0.14,0.18,0.23,0.29
Financial Chronos Small 46M 2021 Global,4,FTV,0.19,0.27,0.27,0.17,0.1
Financial Chronos Small 46M 2021 Global,4,GOOG,0.12,0.12,0.2,0.24,0.32
Financial Chronos Small 46M 2021 Global,4,GPC,0.38,0.18,0.11,0.16,0.17
Financial Chronos Small 46M 2021 Global,4,GSG,0.18,0.12,0.11,0.14,0.45
Financial Chronos Small 46M 2021 Global,4,HIG,0.12,0.15,0.18,0.23,0.32
Financial Chronos Small 46M 2021 Global,4,HIGH.L,0.0,0.18,0.25,0.43,0.14
Financial Chronos Small 46M 2021 Global,4,HST,0.23,0.2,0.2,0.12,0.25
Financial Chronos Small 46M 2021 Global,4,HYG,0.08,0.3,0.37,0.22,0.03
Financial Chronos Small 46M 2021 Global,4,IAU,0.12,0.26,0.19,0.22,0.21
Financial Chronos Small 46M 2021 Global,4,ICLN,0.51,0.15,0.05,0.09,0.2
Financial Chronos Small 46M 2021 Global,4,IEAA.L,0.06,0.38,0.25,0.26,0.05
Financial Chronos Small 46M 2021 Global,4,IEF,0.05,0.19,0.23,0.33,0.2
Financial Chronos Small 46M 2021 Global,4,IEFM.L,0.37,0.3,0.1,0.1,0.13
Financial Chronos Small 46M 2021 Global,4,IEMG,0.68,0.11,0.1,0.07,0.04
Financial Chronos Small 46M 2021 Global,4,IEUS,0.47,0.14,0.14,0.15,0.1
Financial Chronos Small 46M 2021 Global,4,IEVL.L,0.01,0.08,0.21,0.54,0.16
Financial Chronos Small 46M 2021 Global,4,IGF,0.06,0.14,0.21,0.37,0.22
Financial Chronos Small 46M 2021 Global,4,INDA,0.16,0.18,0.21,0.21,0.24
Financial Chronos Small 46M 2021 Global,4,IUMO.L,0.23,0.2,0.11,0.24,0.22
Financial Chronos Small 46M 2021 Global,4,IUVL.L,0.1,0.17,0.29,0.26,0.18
Financial Chronos Small 46M 2021 Global,4,IVV,0.14,0.32,0.19,0.19,0.16
Financial Chronos Small 46M 2021 Global,4,IWM,0.0,0.11,0.14,0.13,0.62
Financial Chronos Small 46M 2021 Global,4,IXN,0.21,0.1,0.09,0.13,0.47
Financial Chronos Small 46M 2021 Global,4,JPEA.L,0.14,0.16,0.17,0.2,0.33
Financial Chronos Small 46M 2021 Global,4,JPM,0.36,0.29,0.18,0.11,0.06
Financial Chronos Small 46M 2021 Global,4,KR,0.3,0.17,0.17,0.12,0.24
Financial Chronos Small 46M 2021 Global,4,LQD,0.15,0.37,0.17,0.25,0.06
Financial Chronos Small 46M 2021 Global,4,MCHI,0.41,0.25,0.2,0.08,0.06
Financial Chronos Small 46M 2021 Global,4,META,0.41,0.19,0.1,0.1,0.2
Financial Chronos Small 46M 2021 Global,4,MVEU.L,0.02,0.07,0.19,0.28,0.44
Financial Chronos Small 46M 2021 Global,4,OGN,0.15,0.3,0.32,0.18,0.05
Financial Chronos Small 46M 2021 Global,4,PG,0.23,0.15,0.17,0.17,0.28
Financial Chronos Small 46M 2021 Global,4,PPL,0.11,0.13,0.12,0.26,0.38
Financial Chronos Small 46M 2021 Global,4,PRU,0.17,0.16,0.21,0.25,0.21
Financial Chronos Small 46M 2021 Global,4,PYPL,0.58,0.04,0.01,0.05,0.32
Financial Chronos Small 46M 2021 Global,4,RE,0.1,0.23,0.13,0.25,0.29
Financial Chronos Small 46M 2021 Global,4,REET,0.2,0.24,0.15,0.15,0.26
Financial Chronos Small 46M 2021 Global,4,ROL,0.08,0.21,0.2,0.23,0.28
Financial Chronos Small 46M 2021 Global,4,ROST,0.14,0.18,0.39,0.12,0.17
Financial Chronos Small 46M 2021 Global,4,SEGA.L,0.15,0.5,0.21,0.12,0.02
Financial Chronos Small 46M 2021 Global,4,SHY,0.0,0.07,0.59,0.33,0.01
Financial Chronos Small 46M 2021 Global,4,SLV,0.36,0.15,0.13,0.11,0.25
Financial Chronos Small 46M 2021 Global,4,SPMV.L,0.08,0.19,0.27,0.3,0.16
Financial Chronos Small 46M 2021 Global,4,TLT,0.45,0.26,0.1,0.09,0.1
Financial Chronos Small 46M 2021 Global,4,UNH,0.05,0.17,0.22,0.36,0.2
Financial Chronos Small 46M 2021 Global,4,URI,0.17,0.2,0.12,0.1,0.41
Financial Chronos Small 46M 2021 Global,4,V,0.3,0.25,0.17,0.15,0.13
Financial Chronos Small 46M 2021 Global,4,VRSK,0.07,0.26,0.27,0.28,0.12
Financial Chronos Small 46M 2021 Global,4,VXX,0.8,0.04,0.03,0.05,0.08
Financial Chronos Small 46M 2021 Global,4,WRK,0.26,0.25,0.12,0.19,0.18
Financial Chronos Small 46M 2021 Global,4,XLB,0.2,0.32,0.23,0.18,0.07
Financial Chronos Small 46M 2021 Global,4,XLC,0.19,0.12,0.15,0.08,0.46
Financial Chronos Small 46M 2021 Global,4,XLE,0.05,0.21,0.31,0.32,0.11
Financial Chronos Small 46M 2021 Global,4,XLF,0.18,0.21,0.08,0.28,0.25
Financial Chronos Small 46M 2021 Global,4,XLI,0.12,0.31,0.26,0.22,0.09
Financial Chronos Small 46M 2021 Global,4,XLK,0.25,0.14,0.17,0.11,0.33
Financial Chronos Small 46M 2021 Global,4,XLP,0.0,0.07,0.38,0.37,0.18
Financial Chronos Small 46M 2021 Global,4,XLU,0.12,0.29,0.21,0.31,0.07
Financial Chronos Small 46M 2021 Global,4,XLV,0.11,0.32,0.3,0.2,0.07
Financial Chronos Small 46M 2021 Global,4,XLY,0.04,0.1,0.09,0.05,0.72
Financial Chronos Small 46M 2021 Global,4,XOM,0.04,0.13,0.2,0.35,0.28
Financial Chronos Small 46M 2021 Global,5,ABBV,0.21,0.09,0.12,0.22,0.36
Financial Chronos Small 46M 2021 Global,5,ACN,0.05,0.32,0.44,0.11,0.08
Financial Chronos Small 46M 2021 Global,5,AEP,0.04,0.34,0.38,0.21,0.03
Financial Chronos Small 46M 2021 Global,5,AIZ,0.07,0.18,0.29,0.36,0.1
Financial Chronos Small 46M 2021 Global,5,ALLE,0.29,0.28,0.25,0.12,0.06
Financial Chronos Small 46M 2021 Global,5,AMAT,0.4,0.12,0.2,0.12,0.16
Financial Chronos Small 46M 2021 Global,5,AMP,0.26,0.11,0.15,0.19,0.29
Financial Chronos Small 46M 2021 Global,5,AMZN,0.54,0.17,0.19,0.05,0.05
Financial Chronos Small 46M 2021 Global,5,AVB,0.17,0.19,0.12,0.29,0.23
Financial Chronos Small 46M 2021 Global,5,AVY,0.18,0.35,0.34,0.11,0.02
Financial Chronos Small 46M 2021 Global,5,AXP,0.24,0.18,0.21,0.18,0.19
Financial Chronos Small 46M 2021 Global,5,BDX,0.24,0.44,0.19,0.12,0.01
Financial Chronos Small 46M 2021 Global,5,BF-B,0.17,0.32,0.34,0.14,0.03
Financial Chronos Small 46M 2021 Global,5,BMY,0.02,0.26,0.47,0.2,0.05
Financial Chronos Small 46M 2021 Global,5,BR,0.2,0.35,0.22,0.18,0.05
Financial Chronos Small 46M 2021 Global,5,CARR,0.33,0.39,0.2,0.08,0.0
Financial Chronos Small 46M 2021 Global,5,CDW,0.16,0.24,0.17,0.25,0.18
Financial Chronos Small 46M 2021 Global,5,CE,0.19,0.17,0.26,0.22,0.16
Financial Chronos Small 46M 2021 Global,5,CHTR,0.21,0.18,0.25,0.24,0.12
Financial Chronos Small 46M 2021 Global,5,CNC,0.32,0.14,0.23,0.18,0.13
Financial Chronos Small 46M 2021 Global,5,CNP,0.23,0.2,0.18,0.25,0.14
Financial Chronos Small 46M 2021 Global,5,COP,0.01,0.04,0.08,0.05,0.82
Financial Chronos Small 46M 2021 Global,5,CTAS,0.22,0.4,0.24,0.14,0.0
Financial Chronos Small 46M 2021 Global,5,CZR,0.6,0.13,0.08,0.07,0.12
Financial Chronos Small 46M 2021 Global,5,DG,0.1,0.23,0.25,0.27,0.15
Financial Chronos Small 46M 2021 Global,5,DPZ,0.06,0.26,0.42,0.25,0.01
Financial Chronos Small 46M 2021 Global,5,DRE,0.08,0.49,0.39,0.04,0.0
Financial Chronos Small 46M 2021 Global,5,DXC,0.3,0.2,0.14,0.18,0.18
Financial Chronos Small 46M 2021 Global,5,EWA,0.12,0.19,0.12,0.25,0.32
Financial Chronos Small 46M 2021 Global,5,EWC,0.03,0.02,0.09,0.24,0.62
Financial Chronos Small 46M 2021 Global,5,EWG,0.21,0.11,0.13,0.2,0.35
Financial Chronos Small 46M 2021 Global,5,EWH,0.22,0.14,0.12,0.29,0.23
Financial Chronos Small 46M 2021 Global,5,EWJ,0.12,0.16,0.25,0.28,0.19
Financial Chronos Small 46M 2021 Global,5,EWL,0.14,0.08,0.13,0.23,0.42
Financial Chronos Small 46M 2021 Global,5,EWQ,0.35,0.22,0.15,0.13,0.15
Financial Chronos Small 46M 2021 Global,5,EWT,0.02,0.08,0.06,0.11,0.73
Financial Chronos Small 46M 2021 Global,5,EWU,0.13,0.1,0.21,0.35,0.21
Financial Chronos Small 46M 2021 Global,5,EWY,0.28,0.11,0.12,0.09,0.4
Financial Chronos Small 46M 2021 Global,5,EWZ,0.27,0.09,0.15,0.27,0.22
Financial Chronos Small 46M 2021 Global,5,FTV,0.24,0.26,0.26,0.15,0.09
Financial Chronos Small 46M 2021 Global,5,GOOG,0.26,0.38,0.27,0.08,0.01
Financial Chronos Small 46M 2021 Global,5,GPC,0.36,0.19,0.09,0.23,0.13
Financial Chronos Small 46M 2021 Global,5,GSG,0.22,0.05,0.05,0.22,0.46
Financial Chronos Small 46M 2021 Global,5,HIG,0.21,0.16,0.2,0.22,0.21
Financial Chronos Small 46M 2021 Global,5,HIGH.L,0.06,0.3,0.28,0.29,0.07
Financial Chronos Small 46M 2021 Global,5,HST,0.2,0.14,0.15,0.15,0.36
Financial Chronos Small 46M 2021 Global,5,HYG,0.07,0.31,0.38,0.23,0.01
Financial Chronos Small 46M 2021 Global,5,IAU,0.24,0.21,0.21,0.25,0.09
Financial Chronos Small 46M 2021 Global,5,ICLN,0.57,0.12,0.08,0.08,0.15
Financial Chronos Small 46M 2021 Global,5,IEAA.L,0.27,0.45,0.17,0.08,0.03
Financial Chronos Small 46M 2021 Global,5,IEF,0.09,0.16,0.16,0.37,0.22
Financial Chronos Small 46M 2021 Global,5,IEFM.L,0.02,0.12,0.13,0.4,0.33
Financial Chronos Small 46M 2021 Global,5,IEMG,0.36,0.19,0.12,0.2,0.13
Financial Chronos Small 46M 2021 Global,5,IEUS,0.02,0.08,0.1,0.17,0.63
Financial Chronos Small 46M 2021 Global,5,IEVL.L,0.01,0.08,0.1,0.16,0.65
Financial Chronos Small 46M 2021 Global,5,IGF,0.11,0.18,0.23,0.34,0.14
Financial Chronos Small 46M 2021 Global,5,INDA,0.15,0.16,0.22,0.34,0.13
Financial Chronos Small 46M 2021 Global,5,IUMO.L,0.24,0.13,0.15,0.31,0.17
Financial Chronos Small 46M 2021 Global,5,IUVL.L,0.13,0.25,0.29,0.28,0.05
Financial Chronos Small 46M 2021 Global,5,IVV,0.46,0.19,0.16,0.11,0.08
Financial Chronos Small 46M 2021 Global,5,IWM,0.01,0.09,0.12,0.17,0.61
Financial Chronos Small 46M 2021 Global,5,IXN,0.29,0.15,0.12,0.15,0.29
Financial Chronos Small 46M 2021 Global,5,JPEA.L,0.22,0.14,0.18,0.39,0.07
Financial Chronos Small 46M 2021 Global,5,JPM,0.16,0.17,0.2,0.27,0.2
Financial Chronos Small 46M 2021 Global,5,KR,0.11,0.36,0.37,0.13,0.03
Financial Chronos Small 46M 2021 Global,5,LQD,0.03,0.15,0.23,0.51,0.08
Financial Chronos Small 46M 2021 Global,5,MCHI,0.79,0.08,0.1,0.03,0.0
Financial Chronos Small 46M 2021 Global,5,META,0.42,0.19,0.16,0.06,0.17
Financial Chronos Small 46M 2021 Global,5,MVEU.L,0.0,0.06,0.13,0.39,0.42
Financial Chronos Small 46M 2021 Global,5,OGN,0.31,0.34,0.29,0.05,0.01
Financial Chronos Small 46M 2021 Global,5,PG,0.25,0.32,0.16,0.17,0.1
Financial Chronos Small 46M 2021 Global,5,PPL,0.19,0.16,0.09,0.31,0.25
Financial Chronos Small 46M 2021 Global,5,PRU,0.21,0.23,0.16,0.27,0.13
Financial Chronos Small 46M 2021 Global,5,PYPL,0.5,0.13,0.08,0.06,0.23
Financial Chronos Small 46M 2021 Global,5,RE,0.08,0.26,0.21,0.34,0.11
Financial Chronos Small 46M 2021 Global,5,REET,0.24,0.25,0.14,0.26,0.11
Financial Chronos Small 46M 2021 Global,5,ROL,0.17,0.17,0.15,0.32,0.19
Financial Chronos Small 46M 2021 Global,5,ROST,0.26,0.14,0.24,0.13,0.23
Financial Chronos Small 46M 2021 Global,5,SEGA.L,0.22,0.49,0.27,0.02,0.0
Financial Chronos Small 46M 2021 Global,5,SHY,0.0,0.33,0.52,0.15,0.0
Financial Chronos Small 46M 2021 Global,5,SLV,0.42,0.15,0.1,0.2,0.13
Financial Chronos Small 46M 2021 Global,5,SPMV.L,0.15,0.39,0.29,0.12,0.05
Financial Chronos Small 46M 2021 Global,5,TLT,0.32,0.13,0.13,0.23,0.19
Financial Chronos Small 46M 2021 Global,5,UNH,0.2,0.26,0.33,0.19,0.02
Financial Chronos Small 46M 2021 Global,5,URI,0.13,0.15,0.18,0.22,0.32
Financial Chronos Small 46M 2021 Global,5,V,0.17,0.32,0.19,0.15,0.17
Financial Chronos Small 46M 2021 Global,5,VRSK,0.1,0.16,0.23,0.3,0.21
Financial Chronos Small 46M 2021 Global,5,VXX,0.87,0.03,0.03,0.02,0.05
Financial Chronos Small 46M 2021 Global,5,WRK,0.09,0.07,0.17,0.35,0.32
Financial Chronos Small 46M 2021 Global,5,XLB,0.06,0.1,0.15,0.23,0.46
Financial Chronos Small 46M 2021 Global,5,XLC,0.04,0.18,0.26,0.11,0.41
Financial Chronos Small 46M 2021 Global,5,XLE,0.01,0.02,0.06,0.08,0.83
Financial Chronos Small 46M 2021 Global,5,XLF,0.14,0.16,0.15,0.3,0.25
Financial Chronos Small 46M 2021 Global,5,XLI,0.05,0.12,0.16,0.25,0.42
Financial Chronos Small 46M 2021 Global,5,XLK,0.4,0.2,0.13,0.17,0.1
Financial Chronos Small 46M 2021 Global,5,XLP,0.05,0.43,0.42,0.1,0.0
Financial Chronos Small 46M 2021 Global,5,XLU,0.08,0.22,0.29,0.27,0.14
Financial Chronos Small 46M 2021 Global,5,XLV,0.1,0.33,0.36,0.21,0.0
Financial Chronos Small 46M 2021 Global,5,XLY,0.03,0.11,0.15,0.14,0.57
Financial Chronos Small 46M 2021 Global,5,XOM,0.06,0.08,0.17,0.26,0.43
Financial Chronos Small 46M 2021 Global,6,ABBV,0.16,0.16,0.26,0.23,0.19
Financial Chronos Small 46M 2021 Global,6,ACN,0.05,0.28,0.38,0.16,0.13
Financial Chronos Small 46M 2021 Global,6,AEP,0.15,0.22,0.36,0.17,0.1
Financial Chronos Small 46M 2021 Global,6,AIZ,0.05,0.2,0.27,0.35,0.13
Financial Chronos Small 46M 2021 Global,6,ALLE,0.33,0.36,0.21,0.08,0.02
Financial Chronos Small 46M 2021 Global,6,AMAT,0.55,0.15,0.12,0.09,0.09
Financial Chronos Small 46M 2021 Global,6,AMP,0.09,0.34,0.15,0.19,0.23
Financial Chronos Small 46M 2021 Global,6,AMZN,0.3,0.32,0.25,0.07,0.06
Financial Chronos Small 46M 2021 Global,6,AVB,0.39,0.09,0.09,0.1,0.33
Financial Chronos Small 46M 2021 Global,6,AVY,0.23,0.3,0.23,0.2,0.04
Financial Chronos Small 46M 2021 Global,6,AXP,0.24,0.25,0.26,0.17,0.08
Financial Chronos Small 46M 2021 Global,6,BDX,0.28,0.32,0.2,0.15,0.05
Financial Chronos Small 46M 2021 Global,6,BF-B,0.16,0.32,0.17,0.19,0.16
Financial Chronos Small 46M 2021 Global,6,BMY,0.18,0.29,0.33,0.17,0.03
Financial Chronos Small 46M 2021 Global,6,BR,0.23,0.29,0.21,0.18,0.09
Financial Chronos Small 46M 2021 Global,6,CARR,0.31,0.33,0.24,0.11,0.01
Financial Chronos Small 46M 2021 Global,6,CDW,0.18,0.39,0.26,0.16,0.01
Financial Chronos Small 46M 2021 Global,6,CE,0.41,0.18,0.22,0.12,0.07
Financial Chronos Small 46M 2021 Global,6,CHTR,0.32,0.17,0.1,0.18,0.23
Financial Chronos Small 46M 2021 Global,6,CNC,0.09,0.25,0.24,0.3,0.12
Financial Chronos Small 46M 2021 Global,6,CNP,0.21,0.2,0.14,0.26,0.19
Financial Chronos Small 46M 2021 Global,6,COP,0.23,0.09,0.04,0.14,0.5
Financial Chronos Small 46M 2021 Global,6,CTAS,0.04,0.4,0.41,0.15,0.0
Financial Chronos Small 46M 2021 Global,6,CZR,0.55,0.06,0.1,0.04,0.25
Financial Chronos Small 46M 2021 Global,6,DG,0.08,0.22,0.22,0.27,0.21
Financial Chronos Small 46M 2021 Global,6,DPZ,0.09,0.29,0.36,0.2,0.06
Financial Chronos Small 46M 2021 Global,6,DRE,0.07,0.47,0.34,0.11,0.01
Financial Chronos Small 46M 2021 Global,6,DXC,0.2,0.23,0.16,0.26,0.15
Financial Chronos Small 46M 2021 Global,6,EWA,0.17,0.08,0.12,0.24,0.39
Financial Chronos Small 46M 2021 Global,6,EWC,0.27,0.06,0.13,0.23,0.31
Financial Chronos Small 46M 2021 Global,6,EWG,0.21,0.18,0.1,0.19,0.32
Financial Chronos Small 46M 2021 Global,6,EWH,0.37,0.07,0.09,0.18,0.29
Financial Chronos Small 46M 2021 Global,6,EWJ,0.06,0.17,0.17,0.34,0.26
Financial Chronos Small 46M 2021 Global,6,EWL,0.06,0.09,0.16,0.32,0.37
Financial Chronos Small 46M 2021 Global,6,EWQ,0.13,0.2,0.2,0.19,0.28
Financial Chronos Small 46M 2021 Global,6,EWT,0.03,0.08,0.12,0.18,0.59
Financial Chronos Small 46M 2021 Global,6,EWU,0.08,0.16,0.12,0.29,0.35
Financial Chronos Small 46M 2021 Global,6,EWY,0.44,0.17,0.1,0.1,0.19
Financial Chronos Small 46M 2021 Global,6,EWZ,0.44,0.03,0.08,0.05,0.4
Financial Chronos Small 46M 2021 Global,6,FTV,0.32,0.25,0.19,0.18,0.06
Financial Chronos Small 46M 2021 Global,6,GOOG,0.04,0.28,0.28,0.02,0.38
Financial Chronos Small 46M 2021 Global,6,GPC,0.13,0.26,0.25,0.26,0.1
Financial Chronos Small 46M 2021 Global,6,GSG,0.21,0.07,0.05,0.09,0.58
Financial Chronos Small 46M 2021 Global,6,HIG,0.14,0.12,0.29,0.27,0.18
Financial Chronos Small 46M 2021 Global,6,HIGH.L,0.01,0.13,0.28,0.45,0.13
Financial Chronos Small 46M 2021 Global,6,HST,0.22,0.14,0.13,0.14,0.37
Financial Chronos Small 46M 2021 Global,6,HYG,0.02,0.2,0.36,0.4,0.02
Financial Chronos Small 46M 2021 Global,6,IAU,0.23,0.2,0.18,0.21,0.18
Financial Chronos Small 46M 2021 Global,6,ICLN,0.54,0.07,0.1,0.11,0.18
Financial Chronos Small 46M 2021 Global,6,IEAA.L,0.07,0.34,0.28,0.3,0.01
Financial Chronos Small 46M 2021 Global,6,IEF,0.04,0.15,0.26,0.48,0.07
Financial Chronos Small 46M 2021 Global,6,IEFM.L,0.02,0.08,0.17,0.28,0.45
Financial Chronos Small 46M 2021 Global,6,IEMG,0.53,0.15,0.1,0.1,0.12
Financial Chronos Small 46M 2021 Global,6,IEUS,0.02,0.06,0.14,0.08,0.7
Financial Chronos Small 46M 2021 Global,6,IEVL.L,0.02,0.09,0.21,0.42,0.26
Financial Chronos Small 46M 2021 Global,6,IGF,0.18,0.28,0.11,0.29,0.14
Financial Chronos Small 46M 2021 Global,6,INDA,0.1,0.14,0.09,0.49,0.18
Financial Chronos Small 46M 2021 Global,6,IUMO.L,0.12,0.09,0.08,0.21,0.5
Financial Chronos Small 46M 2021 Global,6,IUVL.L,0.07,0.14,0.21,0.25,0.33
Financial Chronos Small 46M 2021 Global,6,IVV,0.29,0.2,0.22,0.2,0.09
Financial Chronos Small 46M 2021 Global,6,IWM,0.0,0.07,0.11,0.21,0.61
Financial Chronos Small 46M 2021 Global,6,IXN,0.04,0.14,0.18,0.23,0.41
Financial Chronos Small 46M 2021 Global,6,JPEA.L,0.15,0.07,0.13,0.3,0.35
Financial Chronos Small 46M 2021 Global,6,JPM,0.32,0.34,0.25,0.08,0.01
Financial Chronos Small 46M 2021 Global,6,KR,0.28,0.43,0.22,0.06,0.01
Financial Chronos Small 46M 2021 Global,6,LQD,0.03,0.23,0.32,0.34,0.08
Financial Chronos Small 46M 2021 Global,6,MCHI,0.11,0.13,0.18,0.25,0.33
Financial Chronos Small 46M 2021 Global,6,META,0.21,0.31,0.3,0.07,0.11
Financial Chronos Small 46M 2021 Global,6,MVEU.L,0.02,0.02,0.16,0.57,0.23
Financial Chronos Small 46M 2021 Global,6,OGN,0.46,0.2,0.18,0.1,0.06
Financial Chronos Small 46M 2021 Global,6,PG,0.26,0.22,0.19,0.13,0.2
Financial Chronos Small 46M 2021 Global,6,PPL,0.2,0.15,0.17,0.25,0.23
Financial Chronos Small 46M 2021 Global,6,PRU,0.28,0.3,0.25,0.11,0.06
Financial Chronos Small 46M 2021 Global,6,PYPL,0.34,0.1,0.1,0.15,0.31
Financial Chronos Small 46M 2021 Global,6,RE,0.11,0.22,0.37,0.23,0.07
Financial Chronos Small 46M 2021 Global,6,REET,0.28,0.13,0.12,0.22,0.25
Financial Chronos Small 46M 2021 Global,6,ROL,0.11,0.26,0.21,0.23,0.19
Financial Chronos Small 46M 2021 Global,6,ROST,0.12,0.22,0.18,0.18,0.3
Financial Chronos Small 46M 2021 Global,6,SEGA.L,0.3,0.49,0.2,0.01,0.0
Financial Chronos Small 46M 2021 Global,6,SHY,0.02,0.31,0.57,0.1,0.0
Financial Chronos Small 46M 2021 Global,6,SLV,0.39,0.16,0.08,0.14,0.23
Financial Chronos Small 46M 2021 Global,6,SPMV.L,0.06,0.22,0.22,0.37,0.13
Financial Chronos Small 46M 2021 Global,6,TLT,0.47,0.18,0.14,0.15,0.06
Financial Chronos Small 46M 2021 Global,6,UNH,0.17,0.33,0.32,0.17,0.01
Financial Chronos Small 46M 2021 Global,6,URI,0.44,0.22,0.11,0.13,0.1
Financial Chronos Small 46M 2021 Global,6,V,0.19,0.2,0.17,0.21,0.23
Financial Chronos Small 46M 2021 Global,6,VRSK,0.06,0.29,0.39,0.24,0.02
Financial Chronos Small 46M 2021 Global,6,VXX,0.83,0.09,0.06,0.01,0.01
Financial Chronos Small 46M 2021 Global,6,WRK,0.56,0.14,0.13,0.08,0.09
Financial Chronos Small 46M 2021 Global,6,XLB,0.22,0.14,0.14,0.26,0.24
Financial Chronos Small 46M 2021 Global,6,XLC,0.01,0.11,0.12,0.06,0.7
Financial Chronos Small 46M 2021 Global,6,XLE,0.06,0.1,0.11,0.21,0.52
Financial Chronos Small 46M 2021 Global,6,XLF,0.08,0.17,0.11,0.32,0.32
Financial Chronos Small 46M 2021 Global,6,XLI,0.33,0.21,0.23,0.16,0.07
Financial Chronos Small 46M 2021 Global,6,XLK,0.23,0.17,0.16,0.21,0.23
Financial Chronos Small 46M 2021 Global,6,XLP,0.01,0.26,0.37,0.35,0.01
Financial Chronos Small 46M 2021 Global,6,XLU,0.1,0.22,0.3,0.27,0.11
Financial Chronos Small 46M 2021 Global,6,XLV,0.06,0.32,0.38,0.15,0.09
Financial Chronos Small 46M 2021 Global,6,XLY,0.16,0.12,0.18,0.15,0.39
Financial Chronos Small 46M 2021 Global,6,XOM,0.18,0.11,0.2,0.2,0.31
Financial Chronos Small 46M 2021 Global,7,ABBV,0.19,0.24,0.22,0.2,0.15
Financial Chronos Small 46M 2021 Global,7,ACN,0.08,0.25,0.26,0.28,0.13
Financial Chronos Small 46M 2021 Global,7,AEP,0.21,0.17,0.26,0.17,0.19
Financial Chronos Small 46M 2021 Global,7,AIZ,0.03,0.36,0.35,0.21,0.05
Financial Chronos Small 46M 2021 Global,7,ALLE,0.35,0.26,0.28,0.08,0.03
Financial Chronos Small 46M 2021 Global,7,AMAT,0.44,0.11,0.12,0.13,0.2
Financial Chronos Small 46M 2021 Global,7,AMP,0.07,0.19,0.14,0.36,0.24
Financial Chronos Small 46M 2021 Global,7,AMZN,0.15,0.21,0.27,0.21,0.16
Financial Chronos Small 46M 2021 Global,7,AVB,0.38,0.04,0.08,0.15,0.35
Financial Chronos Small 46M 2021 Global,7,AVY,0.13,0.27,0.36,0.21,0.03
Financial Chronos Small 46M 2021 Global,7,AXP,0.11,0.19,0.39,0.22,0.09
Financial Chronos Small 46M 2021 Global,7,BDX,0.22,0.45,0.24,0.08,0.01
Financial Chronos Small 46M 2021 Global,7,BF-B,0.16,0.23,0.37,0.18,0.06
Financial Chronos Small 46M 2021 Global,7,BMY,0.21,0.43,0.27,0.04,0.05
Financial Chronos Small 46M 2021 Global,7,BR,0.14,0.31,0.25,0.2,0.1
