model,round,symbol,Rank1,Rank2,Rank3,Rank4,Rank5,RPS
Chronos-2 120M (spatiotemporal Gaussian copula),3,EWU,0.053,0.264,0.352,0.258,0.073,0.11123760000000002
Chronos-2 120M (spatiotemporal Gaussian copula),3,EWY,0.168,0.224,0.245,0.219,0.144,0.06687860000000001
Chronos-2 120M (spatiotemporal Gaussian copula),3,EWZ,0.314,0.156,0.129,0.163,0.238,0.2517882
Chronos-2 120M (spatiotemporal Gaussian copula),3,FTV,0.182,0.228,0.225,0.215,0.15,0.2653898
Chronos-2 120M (spatiotemporal Gaussian copula),3,GOOG,0.253,0.17,0.155,0.184,0.238,0.12633319999999998
Chronos-2 120M (spatiotemporal Gaussian copula),3,GPC,0.111,0.161,0.206,0.245,0.277,0.1675036
Chronos-2 120M (spatiotemporal Gaussian copula),3,GSG,0.159,0.127,0.12,0.149,0.445,0.11598760000000001
Chronos-2 120M (spatiotemporal Gaussian copula),3,HIG,0.188,0.185,0.182,0.2,0.245,0.10850459999999999
Chronos-2 120M (spatiotemporal Gaussian copula),3,HIGH.L,0.144,0.356,0.286,0.179,0.035,0.0635514
Chronos-2 120M (spatiotemporal Gaussian copula),3,HST,0.187,0.111,0.097,0.148,0.457,0.13972939999999998
Chronos-2 120M (spatiotemporal Gaussian copula),3,HYG,0.034,0.381,0.347,0.219,0.019,0.15087720000000002
Chronos-2 120M (spatiotemporal Gaussian copula),3,IAU,0.229,0.224,0.176,0.191,0.18,0.10433819999999998
Chronos-2 120M (spatiotemporal Gaussian copula),3,ICLN,0.26,0.142,0.131,0.161,0.306,0.19898580000000002
Chronos-2 120M (spatiotemporal Gaussian copula),3,IEAA.L,0.195,0.296,0.276,0.178,0.055,0.07088399999999999
Chronos-2 120M (spatiotemporal Gaussian copula),3,IEF,0.259,0.254,0.227,0.162,0.098,0.0814908
Chronos-2 120M (spatiotemporal Gaussian copula),3,IEFM.L,0.18,0.254,0.232,0.205,0.129,0.09619060000000001
Chronos-2 120M (spatiotemporal Gaussian copula),3,IEMG,0.153,0.293,0.233,0.231,0.09,0.08829320000000003
Chronos-2 120M (spatiotemporal Gaussian copula),3,IEUS,0.164,0.317,0.282,0.189,0.048,0.063346
Chronos-2 120M (spatiotemporal Gaussian copula),3,IEVL.L,0.123,0.227,0.232,0.243,0.175,0.10139559999999999
Chronos-2 120M (spatiotemporal Gaussian copula),3,IGF,0.018,0.198,0.414,0.312,0.058,0.26624879999999995
Chronos-2 120M (spatiotemporal Gaussian copula),3,INDA,0.104,0.251,0.247,0.248,0.15,0.279949
Chronos-2 120M (spatiotemporal Gaussian copula),3,IUMO.L,0.288,0.225,0.193,0.158,0.136,0.169809
Chronos-2 120M (spatiotemporal Gaussian copula),3,IUVL.L,0.198,0.229,0.225,0.238,0.11,0.07094740000000001
Chronos-2 120M (spatiotemporal Gaussian copula),3,IVV,0.014,0.243,0.395,0.331,0.017,0.037527599999999994
Chronos-2 120M (spatiotemporal Gaussian copula),3,IWM,0.171,0.261,0.245,0.221,0.102,0.06611959999999999
Chronos-2 120M (spatiotemporal Gaussian copula),3,IXN,0.171,0.211,0.197,0.223,0.198,0.125522
Chronos-2 120M (spatiotemporal Gaussian copula),3,JPEA.L,0.224,0.3,0.247,0.179,0.05,0.07593860000000001
Chronos-2 120M (spatiotemporal Gaussian copula),3,JPM,0.323,0.22,0.163,0.166,0.128,0.33159960000000005
Chronos-2 120M (spatiotemporal Gaussian copula),3,KR,0.269,0.144,0.136,0.129,0.322,0.144803
Chronos-2 120M (spatiotemporal Gaussian copula),3,LQD,0.223,0.286,0.247,0.178,0.066,0.17694040000000003
Chronos-2 120M (spatiotemporal Gaussian copula),3,MCHI,0.358,0.139,0.122,0.139,0.242,0.11697959999999999
Chronos-2 120M (spatiotemporal Gaussian copula),3,META,0.369,0.108,0.088,0.111,0.324,0.19317820000000002
Chronos-2 120M (spatiotemporal Gaussian copula),3,MVEU.L,0.114,0.236,0.277,0.252,0.121,0.27225320000000003
Chronos-2 120M (spatiotemporal Gaussian copula),3,OGN,0.301,0.153,0.12,0.167,0.259,0.23505479999999998
Chronos-2 120M (spatiotemporal Gaussian copula),3,PG,0.072,0.154,0.182,0.283,0.309,0.38124100000000005
Chronos-2 120M (spatiotemporal Gaussian copula),3,PPL,0.161,0.151,0.221,0.23,0.237,0.19790460000000004
Chronos-2 120M (spatiotemporal Gaussian copula),3,PRU,0.232,0.164,0.177,0.185,0.242,0.13190659999999998
Chronos-2 120M (spatiotemporal Gaussian copula),3,PYPL,0.501,0.105,0.074,0.089,0.231,0.1119996
Chronos-2 120M (spatiotemporal Gaussian copula),3,RE,0.204,0.183,0.179,0.189,0.245,0.11435320000000002
Chronos-2 120M (spatiotemporal Gaussian copula),3,REET,0.048,0.214,0.324,0.314,0.1,0.32646879999999995
Chronos-2 120M (spatiotemporal Gaussian copula),3,ROL,0.286,0.169,0.162,0.181,0.202,0.2612628
Chronos-2 120M (spatiotemporal Gaussian copula),3,ROST,0.21,0.146,0.125,0.158,0.361,0.2877036
Chronos-2 120M (spatiotemporal Gaussian copula),3,SEGA.L,0.271,0.277,0.189,0.186,0.077,0.0897686
Chronos-2 120M (spatiotemporal Gaussian copula),3,SHY,0.154,0.301,0.26,0.218,0.067,0.063291
Chronos-2 120M (spatiotemporal Gaussian copula),3,SLV,0.336,0.181,0.16,0.154,0.169,0.16141499999999998
Chronos-2 120M (spatiotemporal Gaussian copula),3,SPMV.L,0.114,0.218,0.268,0.277,0.123,0.12686979999999998
Chronos-2 120M (spatiotemporal Gaussian copula),3,TLT,0.372,0.193,0.14,0.136,0.159,0.087983
Chronos-2 120M (spatiotemporal Gaussian copula),3,UNH,0.12,0.152,0.178,0.25,0.3,0.1873768
Chronos-2 120M (spatiotemporal Gaussian copula),3,URI,0.227,0.13,0.122,0.137,0.384,0.285975
Chronos-2 120M (spatiotemporal Gaussian copula),3,V,0.188,0.153,0.155,0.215,0.289,0.1614324
Chronos-2 120M (spatiotemporal Gaussian copula),3,VRSK,0.197,0.186,0.179,0.214,0.224,0.25350359999999994
Chronos-2 120M (spatiotemporal Gaussian copula),3,VXX,0.483,0.05,0.049,0.052,0.366,0.1588116
Chronos-2 120M (spatiotemporal Gaussian copula),3,WRK,0.188,0.133,0.143,0.151,0.385,0.18638120000000002
Chronos-2 120M (spatiotemporal Gaussian copula),3,XLB,0.032,0.185,0.323,0.372,0.088,0.06949140000000001
Chronos-2 120M (spatiotemporal Gaussian copula),3,XLC,0.205,0.276,0.214,0.199,0.106,0.0755294
Chronos-2 120M (spatiotemporal Gaussian copula),3,XLE,0.187,0.145,0.115,0.168,0.385,0.14464539999999998
Chronos-2 120M (spatiotemporal Gaussian copula),3,XLF,0.162,0.281,0.275,0.2,0.082,0.14894820000000003
Chronos-2 120M (spatiotemporal Gaussian copula),3,XLI,0.044,0.293,0.375,0.259,0.029,0.039858
Chronos-2 120M (spatiotemporal Gaussian copula),3,XLK,0.148,0.196,0.214,0.221,0.221,0.13928900000000002
Chronos-2 120M (spatiotemporal Gaussian copula),3,XLP,0.032,0.177,0.293,0.349,0.149,0.366582
Chronos-2 120M (spatiotemporal Gaussian copula),3,XLU,0.114,0.249,0.207,0.256,0.174,0.2303882
Chronos-2 120M (spatiotemporal Gaussian copula),3,XLV,0.104,0.266,0.279,0.259,0.092,0.1154762
Chronos-2 120M (spatiotemporal Gaussian copula),3,XLY,0.23,0.202,0.202,0.223,0.143,0.21398579999999998
Chronos-2 120M (spatiotemporal Gaussian copula),3,XOM,0.187,0.135,0.109,0.159,0.41,0.13450279999999998
Chronos-2 120M (spatiotemporal Gaussian copula),4,ABBV,0.187,0.197,0.176,0.192,0.248,0.21230580000000004
Chronos-2 120M (spatiotemporal Gaussian copula),4,ACN,0.165,0.187,0.188,0.24,0.22,0.2102258
Chronos-2 120M (spatiotemporal Gaussian copula),4,AEP,0.166,0.192,0.17,0.234,0.238,0.1438296
Chronos-2 120M (spatiotemporal Gaussian copula),4,AIZ,0.161,0.183,0.205,0.236,0.215,0.0787766
Chronos-2 120M (spatiotemporal Gaussian copula),4,ALLE,0.281,0.19,0.164,0.192,0.173,0.19199119999999997
Chronos-2 120M (spatiotemporal Gaussian copula),4,AMAT,0.292,0.108,0.103,0.108,0.389,0.2519188
Chronos-2 120M (spatiotemporal Gaussian copula),4,AMP,0.193,0.156,0.176,0.204,0.271,0.27482320000000005
Chronos-2 120M (spatiotemporal Gaussian copula),4,AMZN,0.386,0.123,0.124,0.122,0.245,0.2757582
Chronos-2 120M (spatiotemporal Gaussian copula),4,AVB,0.214,0.197,0.182,0.209,0.198,0.11951400000000001
Chronos-2 120M (spatiotemporal Gaussian copula),4,AVY,0.239,0.209,0.151,0.182,0.219,0.1329174
Chronos-2 120M (spatiotemporal Gaussian copula),4,AXP,0.272,0.17,0.151,0.165,0.242,0.21311219999999995
Chronos-2 120M (spatiotemporal Gaussian copula),4,BDX,0.213,0.171,0.163,0.187,0.266,0.206158
Chronos-2 120M (spatiotemporal Gaussian copula),4,BF-B,0.202,0.203,0.198,0.214,0.183,0.24718539999999994
Chronos-2 120M (spatiotemporal Gaussian copula),4,BMY,0.22,0.193,0.203,0.18,0.204,0.24640820000000002
Chronos-2 120M (spatiotemporal Gaussian copula),4,BR,0.165,0.229,0.215,0.201,0.19,0.24188840000000003
Chronos-2 120M (spatiotemporal Gaussian copula),4,CARR,0.236,0.16,0.141,0.164,0.299,0.1448564
Chronos-2 120M (spatiotemporal Gaussian copula),4,CDW,0.207,0.198,0.165,0.217,0.213,0.11542860000000002
Chronos-2 120M (spatiotemporal Gaussian copula),4,CE,0.155,0.146,0.168,0.196,0.335,0.3193624
Chronos-2 120M (spatiotemporal Gaussian copula),4,CHTR,0.307,0.156,0.144,0.143,0.25,0.11991339999999999
Chronos-2 120M (spatiotemporal Gaussian copula),4,CNC,0.264,0.125,0.13,0.158,0.323,0.1897414
Chronos-2 120M (spatiotemporal Gaussian copula),4,CNP,0.107,0.149,0.217,0.244,0.283,0.3417606
Chronos-2 120M (spatiotemporal Gaussian copula),4,COP,0.203,0.106,0.09,0.118,0.483,0.341436
Chronos-2 120M (spatiotemporal Gaussian copula),4,CTAS,0.196,0.204,0.188,0.22,0.192,0.11620480000000004
Chronos-2 120M (spatiotemporal Gaussian copula),4,CZR,0.381,0.085,0.065,0.091,0.378,0.20623240000000004
Chronos-2 120M (spatiotemporal Gaussian copula),4,DG,0.32,0.133,0.099,0.138,0.31,0.2176826
Chronos-2 120M (spatiotemporal Gaussian copula),4,DPZ,0.339,0.156,0.123,0.129,0.253,0.2599758
Chronos-2 120M (spatiotemporal Gaussian copula),4,DRE,0.151,0.19,0.18,0.212,0.267,0.18956239999999994
Chronos-2 120M (spatiotemporal Gaussian copula),4,DXC,0.256,0.13,0.091,0.136,0.387,0.17316600000000001
Chronos-2 120M (spatiotemporal Gaussian copula),4,EWA,0.09,0.254,0.324,0.259,0.073,0.27479780000000004
Chronos-2 120M (spatiotemporal Gaussian copula),4,EWC,0.026,0.239,0.357,0.325,0.053,0.1373188
Chronos-2 120M (spatiotemporal Gaussian copula),4,EWG,0.167,0.288,0.249,0.222,0.074,0.08360120000000001
Chronos-2 120M (spatiotemporal Gaussian copula),4,EWH,0.235,0.263,0.213,0.182,0.107,0.3212398
Chronos-2 120M (spatiotemporal Gaussian copula),4,EWJ,0.144,0.31,0.323,0.185,0.038,0.055605
Chronos-2 120M (spatiotemporal Gaussian copula),4,EWL,0.073,0.277,0.326,0.265,0.059,0.04725719999999999
Chronos-2 120M (spatiotemporal Gaussian copula),4,EWQ,0.082,0.262,0.321,0.257,0.078,0.0486738
Chronos-2 120M (spatiotemporal Gaussian copula),4,EWT,0.134,0.232,0.248,0.249,0.137,0.0639354
Chronos-2 120M (spatiotemporal Gaussian copula),4,EWU,0.059,0.238,0.328,0.291,0.084,0.0478742
Chronos-2 120M (spatiotemporal Gaussian copula),4,EWY,0.202,0.218,0.239,0.211,0.13,0.221277
Chronos-2 120M (spatiotemporal Gaussian copula),4,EWZ,0.242,0.148,0.136,0.163,0.311,0.25361219999999995
Chronos-2 120M (spatiotemporal Gaussian copula),4,FTV,0.205,0.237,0.21,0.203,0.145,0.09910360000000003
Chronos-2 120M (spatiotemporal Gaussian copula),4,GOOG,0.27,0.173,0.167,0.175,0.215,0.25149479999999996
Chronos-2 120M (spatiotemporal Gaussian copula),4,GPC,0.146,0.198,0.179,0.244,0.233,0.20029399999999997
Chronos-2 120M (spatiotemporal Gaussian copula),4,GSG,0.109,0.124,0.128,0.186,0.453,0.13594
Chronos-2 120M (spatiotemporal Gaussian copula),4,HIG,0.238,0.196,0.181,0.191,0.194,0.11257220000000001
Chronos-2 120M (spatiotemporal Gaussian copula),4,HIGH.L,0.127,0.307,0.303,0.215,0.048,0.05519160000000001
Chronos-2 120M (spatiotemporal Gaussian copula),4,HST,0.357,0.143,0.1,0.144,0.256,0.177797
Chronos-2 120M (spatiotemporal Gaussian copula),4,HYG,0.052,0.346,0.349,0.228,0.025,0.045148400000000005
Chronos-2 120M (spatiotemporal Gaussian copula),4,IAU,0.229,0.195,0.179,0.191,0.206,0.24525240000000004
Chronos-2 120M (spatiotemporal Gaussian copula),4,ICLN,0.182,0.127,0.105,0.162,0.424,0.0959554
Chronos-2 120M (spatiotemporal Gaussian copula),4,IEAA.L,0.204,0.278,0.263,0.194,0.061,0.1665372
Chronos-2 120M (spatiotemporal Gaussian copula),4,IEF,0.257,0.242,0.215,0.173,0.113,0.167523
Chronos-2 120M (spatiotemporal Gaussian copula),4,IEFM.L,0.151,0.246,0.209,0.244,0.15,0.11402920000000001
Chronos-2 120M (spatiotemporal Gaussian copula),4,IEMG,0.167,0.293,0.235,0.222,0.083,0.14588059999999997
Chronos-2 120M (spatiotemporal Gaussian copula),4,IEUS,0.108,0.26,0.31,0.245,0.077,0.10414019999999999
Chronos-2 120M (spatiotemporal Gaussian copula),4,IEVL.L,0.102,0.201,0.243,0.257,0.197,0.14822760000000001
Chronos-2 120M (spatiotemporal Gaussian copula),4,IGF,0.017,0.205,0.426,0.312,0.04,0.14621540000000005
Chronos-2 120M (spatiotemporal Gaussian copula),4,INDA,0.096,0.252,0.266,0.244,0.142,0.10549599999999999
Chronos-2 120M (spatiotemporal Gaussian copula),4,IUMO.L,0.222,0.195,0.199,0.209,0.175,0.08025079999999998
Chronos-2 120M (spatiotemporal Gaussian copula),4,IUVL.L,0.146,0.205,0.211,0.224,0.214,0.13603140000000002
Chronos-2 120M (spatiotemporal Gaussian copula),4,IVV,0.05,0.331,0.388,0.223,0.008,0.0402172
Chronos-2 120M (spatiotemporal Gaussian copula),4,IWM,0.179,0.252,0.237,0.224,0.108,0.06793800000000001
Chronos-2 120M (spatiotemporal Gaussian copula),4,IXN,0.24,0.23,0.197,0.197,0.136,0.08157699999999998
Chronos-2 120M (spatiotemporal Gaussian copula),4,JPEA.L,0.144,0.28,0.267,0.229,0.08,0.06047860000000001
Chronos-2 120M (spatiotemporal Gaussian copula),4,JPM,0.225,0.208,0.158,0.204,0.205,0.226284
Chronos-2 120M (spatiotemporal Gaussian copula),4,KR,0.259,0.127,0.118,0.135,0.361,0.1640828
Chronos-2 120M (spatiotemporal Gaussian copula),4,LQD,0.228,0.256,0.24,0.193,0.083,0.16346100000000002
Chronos-2 120M (spatiotemporal Gaussian copula),4,MCHI,0.314,0.153,0.117,0.145,0.271,0.23783639999999995
Chronos-2 120M (spatiotemporal Gaussian copula),4,META,0.378,0.128,0.088,0.115,0.291,0.1760874
Chronos-2 120M (spatiotemporal Gaussian copula),4,MVEU.L,0.111,0.23,0.279,0.251,0.129,0.05792859999999998
Chronos-2 120M (spatiotemporal Gaussian copula),4,OGN,0.198,0.109,0.115,0.161,0.417,0.20548520000000003
Chronos-2 120M (spatiotemporal Gaussian copula),4,PG,0.156,0.211,0.207,0.239,0.187,0.104694
Chronos-2 120M (spatiotemporal Gaussian copula),4,PPL,0.141,0.181,0.232,0.237,0.209,0.14443240000000004
Chronos-2 120M (spatiotemporal Gaussian copula),4,PRU,0.195,0.166,0.194,0.18,0.265,0.14291920000000002
Chronos-2 120M (spatiotemporal Gaussian copula),4,PYPL,0.427,0.106,0.092,0.113,0.262,0.1219374
Chronos-2 120M (spatiotemporal Gaussian copula),4,RE,0.21,0.217,0.181,0.193,0.199,0.24753879999999998
Chronos-2 120M (spatiotemporal Gaussian copula),4,REET,0.076,0.294,0.333,0.237,0.06,0.04689699999999999
Chronos-2 120M (spatiotemporal Gaussian copula),4,ROL,0.19,0.154,0.154,0.193,0.309,0.0995842
Chronos-2 120M (spatiotemporal Gaussian copula),4,ROST,0.375,0.118,0.097,0.128,0.282,0.17905960000000004
Chronos-2 120M (spatiotemporal Gaussian copula),4,SEGA.L,0.261,0.242,0.197,0.186,0.114,0.16482519999999998
Chronos-2 120M (spatiotemporal Gaussian copula),4,SHY,0.192,0.271,0.248,0.22,0.069,0.3247030000000001
Chronos-2 120M (spatiotemporal Gaussian copula),4,SLV,0.323,0.155,0.141,0.162,0.219,0.152787
Chronos-2 120M (spatiotemporal Gaussian copula),4,SPMV.L,0.116,0.224,0.255,0.285,0.12,0.0994962
Chronos-2 120M (spatiotemporal Gaussian copula),4,TLT,0.332,0.185,0.14,0.155,0.188,0.10610119999999998
Chronos-2 120M (spatiotemporal Gaussian copula),4,UNH,0.146,0.182,0.197,0.222,0.253,0.19250679999999995
Chronos-2 120M (spatiotemporal Gaussian copula),4,URI,0.29,0.142,0.116,0.128,0.324,0.2272008
Chronos-2 120M (spatiotemporal Gaussian copula),4,V,0.277,0.211,0.158,0.182,0.172,0.15235459999999998
Chronos-2 120M (spatiotemporal Gaussian copula),4,VRSK,0.268,0.194,0.182,0.18,0.176,0.14619600000000002
Chronos-2 120M (spatiotemporal Gaussian copula),4,VXX,0.556,0.054,0.034,0.061,0.295,0.3185994000000001
Chronos-2 120M (spatiotemporal Gaussian copula),4,WRK,0.264,0.149,0.126,0.134,0.327,0.24114299999999997
Chronos-2 120M (spatiotemporal Gaussian copula),4,XLB,0.039,0.205,0.321,0.349,0.086,0.3383356
Chronos-2 120M (spatiotemporal Gaussian copula),4,XLC,0.239,0.288,0.23,0.159,0.084,0.08019099999999998
Chronos-2 120M (spatiotemporal Gaussian copula),4,XLE,0.184,0.13,0.118,0.157,0.411,0.32559940000000004
Chronos-2 120M (spatiotemporal Gaussian copula),4,XLF,0.106,0.248,0.28,0.246,0.12,0.1153816
Chronos-2 120M (spatiotemporal Gaussian copula),4,XLI,0.041,0.278,0.383,0.267,0.031,0.038641400000000006
Chronos-2 120M (spatiotemporal Gaussian copula),4,XLK,0.225,0.241,0.2,0.197,0.137,0.07962119999999999
Chronos-2 120M (spatiotemporal Gaussian copula),4,XLP,0.072,0.215,0.294,0.305,0.114,0.08762199999999999
Chronos-2 120M (spatiotemporal Gaussian copula),4,XLU,0.116,0.235,0.213,0.261,0.175,0.13107560000000001
Chronos-2 120M (spatiotemporal Gaussian copula),4,XLV,0.066,0.256,0.285,0.286,0.107,0.0975876
Chronos-2 120M (spatiotemporal Gaussian copula),4,XLY,0.281,0.214,0.16,0.197,0.148,0.154983
Chronos-2 120M (spatiotemporal Gaussian copula),4,XOM,0.193,0.132,0.116,0.16,0.399,0.31571119999999997
Chronos-2 120M (spatiotemporal Gaussian copula),5,ABBV,0.189,0.209,0.172,0.193,0.237,0.12783879999999997
Chronos-2 120M (spatiotemporal Gaussian copula),5,ACN,0.163,0.188,0.168,0.245,0.236,0.2817654
Chronos-2 120M (spatiotemporal Gaussian copula),5,AEP,0.204,0.213,0.181,0.197,0.205,0.0838268
Chronos-2 120M (spatiotemporal Gaussian copula),5,AIZ,0.161,0.177,0.213,0.235,0.214,0.14231240000000003
Chronos-2 120M (spatiotemporal Gaussian copula),5,ALLE,0.277,0.201,0.175,0.186,0.161,0.15150860000000002
Chronos-2 120M (spatiotemporal Gaussian copula),5,AMAT,0.304,0.121,0.102,0.115,0.358,0.1925868
Chronos-2 120M (spatiotemporal Gaussian copula),5,AMP,0.184,0.161,0.17,0.219,0.266,0.1537724
Chronos-2 120M (spatiotemporal Gaussian copula),5,AMZN,0.397,0.131,0.112,0.123,0.237,0.2856324
Chronos-2 120M (spatiotemporal Gaussian copula),5,AVB,0.179,0.195,0.177,0.206,0.243,0.1069134
Chronos-2 120M (spatiotemporal Gaussian copula),5,AVY,0.171,0.183,0.176,0.185,0.285,0.18933640000000004
Chronos-2 120M (spatiotemporal Gaussian copula),5,AXP,0.234,0.145,0.137,0.188,0.296,0.1920538
Chronos-2 120M (spatiotemporal Gaussian copula),5,BDX,0.272,0.186,0.175,0.183,0.184,0.19845859999999999
Chronos-2 120M (spatiotemporal Gaussian copula),5,BF-B,0.17,0.2,0.188,0.211,0.231,0.134905
Chronos-2 120M (spatiotemporal Gaussian copula),5,BMY,0.179,0.223,0.218,0.183,0.197,0.24297080000000001
Chronos-2 120M (spatiotemporal Gaussian copula),5,BR,0.169,0.225,0.193,0.216,0.197,0.23463499999999998
Chronos-2 120M (spatiotemporal Gaussian copula),5,CARR,0.198,0.164,0.144,0.187,0.307,0.1813066
Chronos-2 120M (spatiotemporal Gaussian copula),5,CDW,0.167,0.191,0.153,0.237,0.252,0.0961356
Chronos-2 120M (spatiotemporal Gaussian copula),5,CE,0.135,0.135,0.154,0.191,0.385,0.3522252
Chronos-2 120M (spatiotemporal Gaussian copula),5,CHTR,0.377,0.152,0.14,0.119,0.212,0.298095
Chronos-2 120M (spatiotemporal Gaussian copula),5,CNC,0.302,0.146,0.135,0.161,0.256,0.2370666
Chronos-2 120M (spatiotemporal Gaussian copula),5,CNP,0.152,0.166,0.217,0.217,0.248,0.0943914
Chronos-2 120M (spatiotemporal Gaussian copula),5,COP,0.283,0.094,0.084,0.115,0.424,0.18770299999999995
Chronos-2 120M (spatiotemporal Gaussian copula),5,CTAS,0.17,0.2,0.199,0.231,0.2,0.22591219999999995
Chronos-2 120M (spatiotemporal Gaussian copula),5,CZR,0.37,0.075,0.075,0.094,0.386,0.2168642
Chronos-2 120M (spatiotemporal Gaussian copula),5,DG,0.215,0.15,0.133,0.183,0.319,0.106643
Chronos-2 120M (spatiotemporal Gaussian copula),5,DPZ,0.31,0.171,0.127,0.14,0.252,0.1089258
Chronos-2 120M (spatiotemporal Gaussian copula),5,DRE,0.132,0.16,0.178,0.198,0.332,0.08676240000000002
Chronos-2 120M (spatiotemporal Gaussian copula),5,DXC,0.272,0.135,0.1,0.124,0.369,0.25216859999999997
Chronos-2 120M (spatiotemporal Gaussian copula),5,EWA,0.087,0.24,0.317,0.269,0.087,0.04976060000000001
Chronos-2 120M (spatiotemporal Gaussian copula),5,EWC,0.035,0.251,0.341,0.309,0.064,0.1308492
Chronos-2 120M (spatiotemporal Gaussian copula),5,EWG,0.194,0.306,0.228,0.208,0.064,0.19554320000000003
Chronos-2 120M (spatiotemporal Gaussian copula),5,EWH,0.175,0.283,0.236,0.2,0.106,0.08585220000000002
Chronos-2 120M (spatiotemporal Gaussian copula),5,EWJ,0.112,0.295,0.327,0.22,0.046,0.14381300000000002
Chronos-2 120M (spatiotemporal Gaussian copula),5,EWL,0.07,0.266,0.322,0.272,0.07,0.047931999999999995
Chronos-2 120M (spatiotemporal Gaussian copula),5,EWQ,0.101,0.268,0.293,0.266,0.072,0.105558
Chronos-2 120M (spatiotemporal Gaussian copula),5,EWT,0.123,0.228,0.243,0.258,0.148,0.27541399999999994
Chronos-2 120M (spatiotemporal Gaussian copula),5,EWU,0.093,0.244,0.336,0.25,0.077,0.1122152
Chronos-2 120M (spatiotemporal Gaussian copula),5,EWY,0.179,0.223,0.236,0.213,0.149,0.108578
Chronos-2 120M (spatiotemporal Gaussian copula),5,EWZ,0.329,0.169,0.143,0.162,0.197,0.173987
Chronos-2 120M (spatiotemporal Gaussian copula),5,FTV,0.172,0.236,0.228,0.209,0.155,0.12491379999999999
Chronos-2 120M (spatiotemporal Gaussian copula),5,GOOG,0.23,0.169,0.157,0.192,0.252,0.24294819999999998
Chronos-2 120M (spatiotemporal Gaussian copula),5,GPC,0.134,0.193,0.186,0.255,0.232,0.19557560000000002
Chronos-2 120M (spatiotemporal Gaussian copula),5,GSG,0.231,0.124,0.119,0.163,0.363,0.28316620000000003
Chronos-2 120M (spatiotemporal Gaussian copula),5,HIG,0.174,0.165,0.159,0.203,0.299,0.29212040000000006
Chronos-2 120M (spatiotemporal Gaussian copula),5,HIGH.L,0.132,0.315,0.296,0.203,0.054,0.1544396
Chronos-2 120M (spatiotemporal Gaussian copula),5,HST,0.26,0.115,0.107,0.122,0.396,0.16107299999999997
Chronos-2 120M (spatiotemporal Gaussian copula),5,HYG,0.069,0.385,0.322,0.195,0.029,0.1627788
Chronos-2 120M (spatiotemporal Gaussian copula),5,IAU,0.218,0.216,0.182,0.18,0.204,0.22419039999999998
Chronos-2 120M (spatiotemporal Gaussian copula),5,ICLN,0.276,0.137,0.147,0.16,0.28,0.10374899999999998
Chronos-2 120M (spatiotemporal Gaussian copula),5,IEAA.L,0.229,0.282,0.241,0.184,0.064,0.35103239999999997
Chronos-2 120M (spatiotemporal Gaussian copula),5,IEF,0.283,0.238,0.197,0.162,0.12,0.17629079999999994
Chronos-2 120M (spatiotemporal Gaussian copula),5,IEFM.L,0.13,0.229,0.241,0.239,0.161,0.06634040000000001
Chronos-2 120M (spatiotemporal Gaussian copula),5,IEMG,0.147,0.283,0.246,0.237,0.087,0.23301080000000002
Chronos-2 120M (spatiotemporal Gaussian copula),5,IEUS,0.113,0.256,0.301,0.245,0.085,0.105411
Chronos-2 120M (spatiotemporal Gaussian copula),5,IEVL.L,0.118,0.21,0.249,0.251,0.172,0.1348042
Chronos-2 120M (spatiotemporal Gaussian copula),5,IGF,0.021,0.234,0.417,0.291,0.037,0.13288380000000002
Chronos-2 120M (spatiotemporal Gaussian copula),5,INDA,0.088,0.228,0.277,0.262,0.145,0.09605480000000001
Chronos-2 120M (spatiotemporal Gaussian copula),5,IUMO.L,0.239,0.222,0.202,0.193,0.144,0.08078939999999998
Chronos-2 120M (spatiotemporal Gaussian copula),5,IUVL.L,0.12,0.206,0.183,0.252,0.239,0.08377560000000002
Chronos-2 120M (spatiotemporal Gaussian copula),5,IVV,0.062,0.306,0.361,0.259,0.012,0.0425706
Chronos-2 120M (spatiotemporal Gaussian copula),5,IWM,0.148,0.269,0.247,0.237,0.099,0.129298
Chronos-2 120M (spatiotemporal Gaussian copula),5,IXN,0.223,0.222,0.205,0.196,0.154,0.138794
Chronos-2 120M (spatiotemporal Gaussian copula),5,JPEA.L,0.187,0.309,0.257,0.19,0.057,0.0706486
Chronos-2 120M (spatiotemporal Gaussian copula),5,JPM,0.196,0.212,0.18,0.197,0.215,0.12096979999999997
Chronos-2 120M (spatiotemporal Gaussian copula),5,KR,0.273,0.129,0.132,0.134,0.332,0.24270259999999994
Chronos-2 120M (spatiotemporal Gaussian copula),5,LQD,0.253,0.276,0.219,0.174,0.078,0.18188759999999998
Chronos-2 120M (spatiotemporal Gaussian copula),5,MCHI,0.377,0.161,0.119,0.129,0.214,0.15300359999999996
Chronos-2 120M (spatiotemporal Gaussian copula),5,META,0.421,0.126,0.08,0.107,0.266,0.11846700000000003
Chronos-2 120M (spatiotemporal Gaussian copula),5,MVEU.L,0.09,0.234,0.273,0.25,0.153,0.0985788
Chronos-2 120M (spatiotemporal Gaussian copula),5,OGN,0.261,0.143,0.145,0.146,0.305,0.23955259999999998
Chronos-2 120M (spatiotemporal Gaussian copula),5,PG,0.196,0.184,0.21,0.209,0.201,0.07826340000000001
Chronos-2 120M (spatiotemporal Gaussian copula),5,PPL,0.211,0.19,0.219,0.198,0.182,0.0765692
