model,round,symbol,Rank1,Rank2,Rank3,Rank4,Rank5,RPS
Chronos-2 120M (independent quantile sampling),3,JPEA.L,0.121,0.403,0.343,0.122,0.011,0.06140540000000001
Chronos-2 120M (independent quantile sampling),3,JPM,0.308,0.207,0.133,0.188,0.164,0.29577780000000004
Chronos-2 120M (independent quantile sampling),3,KR,0.229,0.157,0.148,0.194,0.272,0.1441154
Chronos-2 120M (independent quantile sampling),3,LQD,0.073,0.412,0.377,0.132,0.006,0.1967268
Chronos-2 120M (independent quantile sampling),3,MCHI,0.352,0.16,0.142,0.137,0.209,0.10508899999999999
Chronos-2 120M (independent quantile sampling),3,META,0.366,0.115,0.072,0.13,0.317,0.19432300000000002
Chronos-2 120M (independent quantile sampling),3,MVEU.L,0.08,0.261,0.316,0.282,0.061,0.2804102
Chronos-2 120M (independent quantile sampling),3,OGN,0.306,0.162,0.121,0.16,0.251,0.24411639999999996
Chronos-2 120M (independent quantile sampling),3,PG,0.056,0.162,0.2,0.295,0.287,0.3847506
Chronos-2 120M (independent quantile sampling),3,PPL,0.132,0.197,0.183,0.252,0.236,0.194301
Chronos-2 120M (independent quantile sampling),3,PRU,0.225,0.146,0.154,0.197,0.278,0.149835
Chronos-2 120M (independent quantile sampling),3,PYPL,0.485,0.088,0.072,0.109,0.246,0.12681900000000002
Chronos-2 120M (independent quantile sampling),3,RE,0.218,0.178,0.152,0.212,0.24,0.11244880000000002
Chronos-2 120M (independent quantile sampling),3,REET,0.09,0.24,0.24,0.279,0.151,0.29694020000000004
Chronos-2 120M (independent quantile sampling),3,ROL,0.255,0.181,0.15,0.208,0.206,0.24579059999999994
Chronos-2 120M (independent quantile sampling),3,ROST,0.232,0.115,0.12,0.185,0.348,0.28428519999999996
Chronos-2 120M (independent quantile sampling),3,SEGA.L,0.062,0.429,0.407,0.101,0.001,0.051065999999999986
Chronos-2 120M (independent quantile sampling),3,SHY,0.0,0.215,0.781,0.004,0.0,0.0092482
Chronos-2 120M (independent quantile sampling),3,SLV,0.295,0.219,0.214,0.171,0.101,0.16348120000000005
Chronos-2 120M (independent quantile sampling),3,SPMV.L,0.123,0.229,0.273,0.272,0.103,0.1172534
Chronos-2 120M (independent quantile sampling),3,TLT,0.255,0.294,0.229,0.183,0.039,0.06384620000000002
Chronos-2 120M (independent quantile sampling),3,UNH,0.143,0.167,0.135,0.258,0.297,0.17855659999999998
Chronos-2 120M (independent quantile sampling),3,URI,0.264,0.121,0.105,0.145,0.365,0.26264919999999997
Chronos-2 120M (independent quantile sampling),3,V,0.223,0.15,0.141,0.186,0.3,0.15381080000000003
Chronos-2 120M (independent quantile sampling),3,VRSK,0.172,0.199,0.193,0.222,0.214,0.26342340000000003
Chronos-2 120M (independent quantile sampling),3,VXX,0.463,0.079,0.073,0.089,0.296,0.1467948
Chronos-2 120M (independent quantile sampling),3,WRK,0.199,0.144,0.136,0.178,0.343,0.17206800000000003
Chronos-2 120M (independent quantile sampling),3,XLB,0.104,0.2,0.2,0.311,0.185,0.0782946
Chronos-2 120M (independent quantile sampling),3,XLC,0.247,0.211,0.178,0.175,0.189,0.08779800000000001
Chronos-2 120M (independent quantile sampling),3,XLE,0.188,0.127,0.157,0.186,0.342,0.1580634
Chronos-2 120M (independent quantile sampling),3,XLF,0.21,0.21,0.221,0.215,0.144,0.1304234
Chronos-2 120M (independent quantile sampling),3,XLI,0.16,0.238,0.215,0.244,0.143,0.0708444
Chronos-2 120M (independent quantile sampling),3,XLK,0.19,0.165,0.188,0.192,0.265,0.14623980000000006
Chronos-2 120M (independent quantile sampling),3,XLP,0.032,0.179,0.291,0.371,0.127,0.3647356
Chronos-2 120M (independent quantile sampling),3,XLU,0.104,0.218,0.256,0.274,0.148,0.23489760000000004
Chronos-2 120M (independent quantile sampling),3,XLV,0.117,0.253,0.268,0.257,0.105,0.1137316
Chronos-2 120M (independent quantile sampling),3,XLY,0.258,0.198,0.161,0.184,0.199,0.20655800000000002
Chronos-2 120M (independent quantile sampling),3,XOM,0.193,0.128,0.128,0.178,0.373,0.147004
Chronos-2 120M (independent quantile sampling),4,ABBV,0.152,0.188,0.178,0.259,0.223,0.20215140000000004
Chronos-2 120M (independent quantile sampling),4,ACN,0.235,0.173,0.125,0.214,0.253,0.21275739999999993
Chronos-2 120M (independent quantile sampling),4,AEP,0.103,0.195,0.25,0.283,0.169,0.1472556
Chronos-2 120M (independent quantile sampling),4,AIZ,0.152,0.192,0.193,0.256,0.207,0.07973160000000001
Chronos-2 120M (independent quantile sampling),4,ALLE,0.257,0.175,0.171,0.189,0.208,0.21510920000000003
Chronos-2 120M (independent quantile sampling),4,AMAT,0.308,0.108,0.091,0.124,0.369,0.239826
Chronos-2 120M (independent quantile sampling),4,AMP,0.25,0.15,0.132,0.176,0.292,0.2453576
Chronos-2 120M (independent quantile sampling),4,AMZN,0.37,0.147,0.086,0.136,0.261,0.26278379999999996
Chronos-2 120M (independent quantile sampling),4,AVB,0.227,0.189,0.154,0.212,0.218,0.1250018
Chronos-2 120M (independent quantile sampling),4,AVY,0.271,0.168,0.148,0.163,0.25,0.13464620000000002
Chronos-2 120M (independent quantile sampling),4,AXP,0.275,0.16,0.134,0.174,0.257,0.219332
Chronos-2 120M (independent quantile sampling),4,BDX,0.167,0.187,0.179,0.246,0.221,0.20882699999999996
Chronos-2 120M (independent quantile sampling),4,BF-B,0.196,0.211,0.193,0.235,0.165,0.25225800000000004
Chronos-2 120M (independent quantile sampling),4,BMY,0.163,0.211,0.219,0.256,0.151,0.24777899999999997
Chronos-2 120M (independent quantile sampling),4,BR,0.226,0.19,0.186,0.211,0.187,0.24950100000000006
Chronos-2 120M (independent quantile sampling),4,CARR,0.219,0.149,0.153,0.167,0.312,0.15483399999999997
Chronos-2 120M (independent quantile sampling),4,CDW,0.254,0.17,0.143,0.193,0.24,0.12467620000000001
Chronos-2 120M (independent quantile sampling),4,CE,0.192,0.153,0.137,0.184,0.334,0.2923538
Chronos-2 120M (independent quantile sampling),4,CHTR,0.29,0.164,0.152,0.197,0.197,0.1152522
Chronos-2 120M (independent quantile sampling),4,CNC,0.259,0.135,0.124,0.182,0.3,0.19612819999999997
Chronos-2 120M (independent quantile sampling),4,CNP,0.107,0.171,0.177,0.293,0.252,0.33585239999999994
Chronos-2 120M (independent quantile sampling),4,COP,0.208,0.113,0.104,0.147,0.428,0.3204228
Chronos-2 120M (independent quantile sampling),4,CTAS,0.215,0.186,0.148,0.217,0.234,0.11263660000000002
Chronos-2 120M (independent quantile sampling),4,CZR,0.388,0.091,0.058,0.099,0.364,0.19857
Chronos-2 120M (independent quantile sampling),4,DG,0.303,0.146,0.131,0.154,0.266,0.2337132
Chronos-2 120M (independent quantile sampling),4,DPZ,0.309,0.158,0.128,0.162,0.243,0.2481288
Chronos-2 120M (independent quantile sampling),4,DRE,0.177,0.172,0.169,0.212,0.27,0.19087079999999998
Chronos-2 120M (independent quantile sampling),4,DXC,0.275,0.107,0.095,0.142,0.381,0.1752478
Chronos-2 120M (independent quantile sampling),4,EWA,0.154,0.246,0.222,0.248,0.13,0.24709999999999996
Chronos-2 120M (independent quantile sampling),4,EWC,0.118,0.22,0.257,0.244,0.161,0.1284228
Chronos-2 120M (independent quantile sampling),4,EWG,0.25,0.233,0.174,0.196,0.147,0.0938094
Chronos-2 120M (independent quantile sampling),4,EWH,0.19,0.288,0.198,0.222,0.102,0.3055928
Chronos-2 120M (independent quantile sampling),4,EWJ,0.161,0.286,0.256,0.219,0.078,0.0640046
Chronos-2 120M (independent quantile sampling),4,EWL,0.106,0.258,0.264,0.272,0.1,0.05842320000000001
Chronos-2 120M (independent quantile sampling),4,EWQ,0.166,0.227,0.205,0.253,0.149,0.07316200000000002
Chronos-2 120M (independent quantile sampling),4,EWT,0.164,0.225,0.194,0.24,0.177,0.076687
Chronos-2 120M (independent quantile sampling),4,EWU,0.13,0.246,0.244,0.256,0.124,0.0636104
Chronos-2 120M (independent quantile sampling),4,EWY,0.26,0.212,0.186,0.195,0.147,0.1929914
Chronos-2 120M (independent quantile sampling),4,EWZ,0.235,0.163,0.133,0.18,0.289,0.25022219999999995
Chronos-2 120M (independent quantile sampling),4,FTV,0.266,0.204,0.16,0.191,0.179,0.10411940000000001
Chronos-2 120M (independent quantile sampling),4,GOOG,0.295,0.151,0.131,0.172,0.251,0.23597419999999997
Chronos-2 120M (independent quantile sampling),4,GPC,0.184,0.169,0.154,0.219,0.274,0.18851800000000002
Chronos-2 120M (independent quantile sampling),4,GSG,0.096,0.118,0.147,0.248,0.391,0.12324280000000001
Chronos-2 120M (independent quantile sampling),4,HIG,0.279,0.155,0.173,0.17,0.223,0.120475
Chronos-2 120M (independent quantile sampling),4,HIGH.L,0.012,0.305,0.589,0.091,0.003,0.021895600000000005
Chronos-2 120M (independent quantile sampling),4,HST,0.31,0.141,0.127,0.14,0.282,0.2070218
Chronos-2 120M (independent quantile sampling),4,HYG,0.022,0.319,0.464,0.188,0.007,0.0309678
Chronos-2 120M (independent quantile sampling),4,IAU,0.12,0.268,0.282,0.254,0.076,0.29352399999999995
Chronos-2 120M (independent quantile sampling),4,ICLN,0.226,0.132,0.116,0.167,0.359,0.1065594
Chronos-2 120M (independent quantile sampling),4,IEAA.L,0.0,0.377,0.599,0.024,0.0,0.218941
Chronos-2 120M (independent quantile sampling),4,IEF,0.046,0.423,0.412,0.119,0.0,0.19964759999999998
Chronos-2 120M (independent quantile sampling),4,IEFM.L,0.137,0.248,0.225,0.229,0.161,0.11300299999999999
Chronos-2 120M (independent quantile sampling),4,IEMG,0.219,0.256,0.208,0.205,0.112,0.15052379999999999
Chronos-2 120M (independent quantile sampling),4,IEUS,0.202,0.201,0.212,0.247,0.138,0.11289639999999998
Chronos-2 120M (independent quantile sampling),4,IEVL.L,0.109,0.216,0.227,0.276,0.172,0.13955879999999998
Chronos-2 120M (independent quantile sampling),4,IGF,0.068,0.204,0.308,0.316,0.104,0.14436479999999996
Chronos-2 120M (independent quantile sampling),4,INDA,0.136,0.217,0.229,0.271,0.147,0.10068759999999999
Chronos-2 120M (independent quantile sampling),4,IUMO.L,0.202,0.222,0.17,0.223,0.183,0.083781
Chronos-2 120M (independent quantile sampling),4,IUVL.L,0.148,0.229,0.22,0.206,0.197,0.1222502
Chronos-2 120M (independent quantile sampling),4,IVV,0.187,0.232,0.196,0.251,0.134,0.07534220000000001
Chronos-2 120M (independent quantile sampling),4,IWM,0.207,0.221,0.17,0.216,0.186,0.08444660000000001
Chronos-2 120M (independent quantile sampling),4,IXN,0.265,0.188,0.16,0.205,0.182,0.09166540000000001
Chronos-2 120M (independent quantile sampling),4,JPEA.L,0.034,0.355,0.415,0.184,0.012,0.038207399999999996
Chronos-2 120M (independent quantile sampling),4,JPM,0.245,0.176,0.138,0.205,0.236,0.2310886
Chronos-2 120M (independent quantile sampling),4,KR,0.207,0.166,0.128,0.189,0.31,0.15621580000000002
Chronos-2 120M (independent quantile sampling),4,LQD,0.061,0.398,0.378,0.156,0.007,0.183004
Chronos-2 120M (independent quantile sampling),4,MCHI,0.326,0.159,0.137,0.146,0.232,0.2636418
Chronos-2 120M (independent quantile sampling),4,META,0.379,0.122,0.077,0.118,0.304,0.18102840000000003
Chronos-2 120M (independent quantile sampling),4,MVEU.L,0.068,0.255,0.32,0.294,0.063,0.0480742
Chronos-2 120M (independent quantile sampling),4,OGN,0.193,0.132,0.129,0.156,0.39,0.188618
Chronos-2 120M (independent quantile sampling),4,PG,0.134,0.232,0.196,0.266,0.172,0.09946800000000001
Chronos-2 120M (independent quantile sampling),4,PPL,0.11,0.213,0.213,0.279,0.185,0.14399
Chronos-2 120M (independent quantile sampling),4,PRU,0.21,0.134,0.157,0.201,0.298,0.1624482
Chronos-2 120M (independent quantile sampling),4,PYPL,0.418,0.105,0.09,0.109,0.278,0.1258612
Chronos-2 120M (independent quantile sampling),4,RE,0.233,0.193,0.161,0.207,0.206,0.24215400000000004
Chronos-2 120M (independent quantile sampling),4,REET,0.137,0.26,0.257,0.237,0.109,0.061595
Chronos-2 120M (independent quantile sampling),4,ROL,0.174,0.168,0.139,0.216,0.303,0.094082
Chronos-2 120M (independent quantile sampling),4,ROST,0.348,0.122,0.111,0.123,0.296,0.19383620000000004
Chronos-2 120M (independent quantile sampling),4,SEGA.L,0.054,0.406,0.406,0.128,0.006,0.19290160000000006
Chronos-2 120M (independent quantile sampling),4,SHY,0.0,0.229,0.766,0.005,0.0,0.4084932
Chronos-2 120M (independent quantile sampling),4,SLV,0.282,0.197,0.189,0.185,0.147,0.1553596
Chronos-2 120M (independent quantile sampling),4,SPMV.L,0.113,0.24,0.283,0.261,0.103,0.11049659999999997
Chronos-2 120M (independent quantile sampling),4,TLT,0.213,0.289,0.221,0.211,0.066,0.07569160000000001
Chronos-2 120M (independent quantile sampling),4,UNH,0.174,0.175,0.154,0.245,0.252,0.19291799999999998
Chronos-2 120M (independent quantile sampling),4,URI,0.318,0.133,0.101,0.133,0.315,0.21329079999999995
Chronos-2 120M (independent quantile sampling),4,V,0.314,0.171,0.135,0.17,0.21,0.1524642
Chronos-2 120M (independent quantile sampling),4,VRSK,0.22,0.22,0.203,0.192,0.165,0.1365348
Chronos-2 120M (independent quantile sampling),4,VXX,0.555,0.066,0.066,0.092,0.221,0.3544952
Chronos-2 120M (independent quantile sampling),4,WRK,0.296,0.143,0.112,0.145,0.304,0.22087080000000006
Chronos-2 120M (independent quantile sampling),4,XLB,0.125,0.204,0.188,0.292,0.191,0.29712720000000004
Chronos-2 120M (independent quantile sampling),4,XLC,0.273,0.229,0.171,0.178,0.149,0.09113260000000001
Chronos-2 120M (independent quantile sampling),4,XLE,0.196,0.122,0.147,0.168,0.367,0.3064908
Chronos-2 120M (independent quantile sampling),4,XLF,0.183,0.192,0.195,0.251,0.179,0.128211
Chronos-2 120M (independent quantile sampling),4,XLI,0.163,0.239,0.212,0.237,0.149,0.07187400000000002
Chronos-2 120M (independent quantile sampling),4,XLK,0.254,0.205,0.158,0.18,0.203,0.092619
Chronos-2 120M (independent quantile sampling),4,XLP,0.066,0.214,0.296,0.316,0.108,0.0852392
Chronos-2 120M (independent quantile sampling),4,XLU,0.094,0.226,0.25,0.278,0.152,0.13584799999999997
Chronos-2 120M (independent quantile sampling),4,XLV,0.097,0.236,0.266,0.283,0.118,0.0986046
Chronos-2 120M (independent quantile sampling),4,XLY,0.311,0.186,0.145,0.152,0.206,0.15966600000000003
Chronos-2 120M (independent quantile sampling),4,XOM,0.204,0.129,0.12,0.176,0.371,0.303071
Chronos-2 120M (independent quantile sampling),5,ABBV,0.149,0.191,0.188,0.26,0.212,0.1451058
Chronos-2 120M (independent quantile sampling),5,ACN,0.229,0.171,0.131,0.195,0.274,0.24989559999999997
Chronos-2 120M (independent quantile sampling),5,AEP,0.135,0.214,0.247,0.269,0.135,0.0642934
Chronos-2 120M (independent quantile sampling),5,AIZ,0.145,0.183,0.209,0.259,0.204,0.1457188
Chronos-2 120M (independent quantile sampling),5,ALLE,0.252,0.181,0.172,0.194,0.201,0.1314838
Chronos-2 120M (independent quantile sampling),5,AMAT,0.322,0.112,0.094,0.126,0.346,0.199708
Chronos-2 120M (independent quantile sampling),5,AMP,0.239,0.151,0.132,0.19,0.288,0.1481298
Chronos-2 120M (independent quantile sampling),5,AMZN,0.382,0.14,0.091,0.138,0.249,0.2716356
Chronos-2 120M (independent quantile sampling),5,AVB,0.203,0.18,0.16,0.21,0.247,0.1087512
Chronos-2 120M (independent quantile sampling),5,AVY,0.221,0.151,0.152,0.177,0.299,0.19064040000000002
Chronos-2 120M (independent quantile sampling),5,AXP,0.225,0.158,0.124,0.187,0.306,0.1871998
Chronos-2 120M (independent quantile sampling),5,BDX,0.195,0.226,0.199,0.211,0.169,0.23124539999999993
Chronos-2 120M (independent quantile sampling),5,BF-B,0.177,0.194,0.194,0.229,0.206,0.13172620000000002
Chronos-2 120M (independent quantile sampling),5,BMY,0.132,0.223,0.241,0.276,0.128,0.2698098
Chronos-2 120M (independent quantile sampling),5,BR,0.235,0.17,0.182,0.205,0.208,0.23821659999999997
Chronos-2 120M (independent quantile sampling),5,CARR,0.183,0.155,0.15,0.188,0.324,0.16857059999999996
Chronos-2 120M (independent quantile sampling),5,CDW,0.214,0.163,0.155,0.192,0.276,0.10942500000000002
Chronos-2 120M (independent quantile sampling),5,CE,0.18,0.131,0.142,0.182,0.365,0.31591100000000005
Chronos-2 120M (independent quantile sampling),5,CHTR,0.354,0.164,0.145,0.17,0.167,0.3054196
Chronos-2 120M (independent quantile sampling),5,CNC,0.287,0.141,0.154,0.17,0.248,0.2339562
Chronos-2 120M (independent quantile sampling),5,CNP,0.166,0.164,0.172,0.266,0.232,0.0884568
Chronos-2 120M (independent quantile sampling),5,COP,0.263,0.124,0.088,0.135,0.39,0.17453259999999998
Chronos-2 120M (independent quantile sampling),5,CTAS,0.191,0.187,0.149,0.229,0.244,0.20572600000000002
Chronos-2 120M (independent quantile sampling),5,CZR,0.371,0.093,0.059,0.097,0.38,0.21097320000000006
Chronos-2 120M (independent quantile sampling),5,DG,0.19,0.171,0.172,0.207,0.26,0.09042200000000003
Chronos-2 120M (independent quantile sampling),5,DPZ,0.277,0.161,0.149,0.182,0.231,0.0985006
Chronos-2 120M (independent quantile sampling),5,DRE,0.159,0.147,0.16,0.217,0.317,0.0873124
Chronos-2 120M (independent quantile sampling),5,DXC,0.287,0.116,0.094,0.139,0.364,0.2500566
Chronos-2 120M (independent quantile sampling),5,EWA,0.154,0.234,0.216,0.256,0.14,0.07013520000000001
Chronos-2 120M (independent quantile sampling),5,EWC,0.128,0.216,0.253,0.244,0.159,0.126882
Chronos-2 120M (independent quantile sampling),5,EWG,0.279,0.219,0.177,0.182,0.143,0.17958380000000002
Chronos-2 120M (independent quantile sampling),5,EWH,0.136,0.286,0.239,0.244,0.095,0.09530520000000002
Chronos-2 120M (independent quantile sampling),5,EWJ,0.152,0.262,0.255,0.241,0.09,0.1300322
Chronos-2 120M (independent quantile sampling),5,EWL,0.106,0.237,0.266,0.276,0.115,0.05899819999999999
Chronos-2 120M (independent quantile sampling),5,EWQ,0.191,0.208,0.208,0.236,0.157,0.11535599999999999
Chronos-2 120M (independent quantile sampling),5,EWT,0.151,0.213,0.212,0.243,0.181,0.26756680000000005
Chronos-2 120M (independent quantile sampling),5,EWU,0.171,0.239,0.228,0.233,0.129,0.10500519999999999
Chronos-2 120M (independent quantile sampling),5,EWY,0.241,0.211,0.189,0.211,0.148,0.10183400000000002
Chronos-2 120M (independent quantile sampling),5,EWZ,0.31,0.176,0.145,0.179,0.19,0.18251139999999996
Chronos-2 120M (independent quantile sampling),5,FTV,0.236,0.206,0.164,0.203,0.191,0.1309554
Chronos-2 120M (independent quantile sampling),5,GOOG,0.265,0.149,0.13,0.173,0.283,0.23432919999999996
Chronos-2 120M (independent quantile sampling),5,GPC,0.171,0.163,0.171,0.216,0.279,0.1831326
Chronos-2 120M (independent quantile sampling),5,GSG,0.186,0.151,0.152,0.217,0.294,0.2899444
Chronos-2 120M (independent quantile sampling),5,HIG,0.233,0.13,0.144,0.199,0.294,0.2647086
Chronos-2 120M (independent quantile sampling),5,HIGH.L,0.014,0.337,0.553,0.093,0.003,0.18812440000000005
Chronos-2 120M (independent quantile sampling),5,HST,0.249,0.091,0.116,0.166,0.378,0.1544842
Chronos-2 120M (independent quantile sampling),5,HYG,0.054,0.345,0.409,0.177,0.015,0.16304119999999997
Chronos-2 120M (independent quantile sampling),5,IAU,0.105,0.274,0.31,0.252,0.059,0.25737360000000004
Chronos-2 120M (independent quantile sampling),5,ICLN,0.299,0.16,0.111,0.164,0.266,0.11114760000000001
Chronos-2 120M (independent quantile sampling),5,IEAA.L,0.007,0.445,0.514,0.034,0.0,0.42750180000000004
Chronos-2 120M (independent quantile sampling),5,IEF,0.072,0.439,0.37,0.118,0.001,0.2084934
Chronos-2 120M (independent quantile sampling),5,IEFM.L,0.119,0.229,0.255,0.244,0.153,0.06325660000000001
Chronos-2 120M (independent quantile sampling),5,IEMG,0.201,0.245,0.215,0.216,0.123,0.2150734
Chronos-2 120M (independent quantile sampling),5,IEUS,0.2,0.196,0.212,0.252,0.14,0.11561599999999998
Chronos-2 120M (independent quantile sampling),5,IEVL.L,0.122,0.222,0.24,0.261,0.155,0.1284602
Chronos-2 120M (independent quantile sampling),5,IGF,0.089,0.203,0.297,0.311,0.1,0.13762119999999997
Chronos-2 120M (independent quantile sampling),5,INDA,0.114,0.215,0.235,0.282,0.154,0.0926098
Chronos-2 120M (independent quantile sampling),5,IUMO.L,0.208,0.228,0.205,0.203,0.156,0.07731539999999999
Chronos-2 120M (independent quantile sampling),5,IUVL.L,0.119,0.223,0.211,0.232,0.215,0.07543180000000002
Chronos-2 120M (independent quantile sampling),5,IVV,0.191,0.21,0.194,0.252,0.153,0.07694320000000002
Chronos-2 120M (independent quantile sampling),5,IWM,0.192,0.212,0.191,0.214,0.191,0.1181172
Chronos-2 120M (independent quantile sampling),5,IXN,0.252,0.183,0.152,0.209,0.204,0.12778279999999997
Chronos-2 120M (independent quantile sampling),5,JPEA.L,0.054,0.417,0.412,0.113,0.004,0.0592924
Chronos-2 120M (independent quantile sampling),5,JPM,0.227,0.171,0.155,0.203,0.244,0.1346556
Chronos-2 120M (independent quantile sampling),5,KR,0.218,0.171,0.137,0.197,0.277,0.25725000000000003
Chronos-2 120M (independent quantile sampling),5,LQD,0.093,0.414,0.361,0.124,0.008,0.20383720000000002
Chronos-2 120M (independent quantile sampling),5,MCHI,0.371,0.173,0.137,0.127,0.192,0.1484404
Chronos-2 120M (independent quantile sampling),5,META,0.422,0.102,0.086,0.118,0.272,0.1261488
Chronos-2 120M (independent quantile sampling),5,MVEU.L,0.061,0.234,0.324,0.315,0.066,0.0956526
Chronos-2 120M (independent quantile sampling),5,OGN,0.268,0.163,0.123,0.156,0.29,0.2285202
Chronos-2 120M (independent quantile sampling),5,PG,0.173,0.213,0.166,0.253,0.195,0.08353079999999999
Chronos-2 120M (independent quantile sampling),5,PPL,0.186,0.204,0.2,0.225,0.185,0.07780419999999999
Chronos-2 120M (independent quantile sampling),5,PRU,0.196,0.127,0.159,0.198,0.32,0.1734938
Chronos-2 120M (independent quantile sampling),5,PYPL,0.438,0.094,0.078,0.111,0.279,0.2733618
Chronos-2 120M (independent quantile sampling),5,RE,0.208,0.184,0.161,0.218,0.229,0.2498356
Chronos-2 120M (independent quantile sampling),5,REET,0.125,0.24,0.243,0.257,0.135,0.0641478
Chronos-2 120M (independent quantile sampling),5,ROL,0.195,0.183,0.155,0.232,0.235,0.1040446
Chronos-2 120M (independent quantile sampling),5,ROST,0.281,0.12,0.132,0.153,0.314,0.19888940000000002
Chronos-2 120M (independent quantile sampling),5,SEGA.L,0.084,0.431,0.378,0.105,0.002,0.2139468
Chronos-2 120M (independent quantile sampling),5,SHY,0.0,0.265,0.733,0.002,0.0,0.014045800000000002
Chronos-2 120M (independent quantile sampling),5,SLV,0.266,0.194,0.205,0.204,0.131,0.19194840000000002
Chronos-2 120M (independent quantile sampling),5,SPMV.L,0.11,0.222,0.266,0.278,0.124,0.09906080000000002
Chronos-2 120M (independent quantile sampling),5,TLT,0.274,0.288,0.221,0.179,0.038,0.38589060000000003
Chronos-2 120M (independent quantile sampling),5,UNH,0.164,0.17,0.172,0.241,0.253,0.19049939999999999
Chronos-2 120M (independent quantile sampling),5,URI,0.288,0.128,0.099,0.147,0.338,0.19189380000000003
Chronos-2 120M (independent quantile sampling),5,V,0.265,0.17,0.129,0.184,0.252,0.22741000000000003
Chronos-2 120M (independent quantile sampling),5,VRSK,0.189,0.212,0.199,0.224,0.176,0.24709960000000003
Chronos-2 120M (independent quantile sampling),5,VXX,0.562,0.099,0.077,0.071,0.191,0.082378
Chronos-2 120M (independent quantile sampling),5,WRK,0.282,0.146,0.11,0.153,0.309,0.11432660000000001
Chronos-2 120M (independent quantile sampling),5,XLB,0.118,0.18,0.199,0.28,0.223,0.1618932
Chronos-2 120M (independent quantile sampling),5,XLC,0.258,0.216,0.174,0.176,0.176,0.09962400000000003
Chronos-2 120M (independent quantile sampling),5,XLE,0.216,0.143,0.147,0.143,0.351,0.1649548
Chronos-2 120M (independent quantile sampling),5,XLF,0.164,0.202,0.193,0.267,0.174,0.0771218
Chronos-2 120M (independent quantile sampling),5,XLI,0.121,0.218,0.222,0.258,0.181,0.09540879999999999
Chronos-2 120M (independent quantile sampling),5,XLK,0.236,0.205,0.166,0.175,0.218,0.13323
Chronos-2 120M (independent quantile sampling),5,XLP,0.088,0.208,0.281,0.297,0.126,0.058033
Chronos-2 120M (independent quantile sampling),5,XLU,0.106,0.212,0.244,0.278,0.16,0.06596079999999999
Chronos-2 120M (independent quantile sampling),5,XLV,0.112,0.239,0.256,0.265,0.128,0.061315600000000005
Chronos-2 120M (independent quantile sampling),5,XLY,0.274,0.182,0.145,0.163,0.236,0.2455818
Chronos-2 120M (independent quantile sampling),5,XOM,0.227,0.141,0.111,0.177,0.344,0.11534600000000002
Chronos-2 120M (independent quantile sampling),6,ABBV,0.118,0.185,0.206,0.279,0.212,0.30995160000000005
Chronos-2 120M (independent quantile sampling),6,ACN,0.213,0.176,0.132,0.203,0.276,0.10886140000000002
Chronos-2 120M (independent quantile sampling),6,AEP,0.145,0.218,0.246,0.242,0.149,0.24957519999999994
Chronos-2 120M (independent quantile sampling),6,AIZ,0.186,0.23,0.214,0.222,0.148,0.1068912
Chronos-2 120M (independent quantile sampling),6,ALLE,0.239,0.193,0.168,0.198,0.202,0.11610980000000001
Chronos-2 120M (independent quantile sampling),6,AMAT,0.302,0.104,0.085,0.123,0.386,0.17042340000000003
Chronos-2 120M (independent quantile sampling),6,AMP,0.233,0.159,0.133,0.187,0.288,0.1981044
Chronos-2 120M (independent quantile sampling),6,AMZN,0.342,0.129,0.091,0.124,0.314,0.225049
Chronos-2 120M (independent quantile sampling),6,AVB,0.212,0.198,0.181,0.215,0.194,0.1199922
Chronos-2 120M (independent quantile sampling),6,AVY,0.22,0.144,0.147,0.168,0.321,0.18061160000000004
Chronos-2 120M (independent quantile sampling),6,AXP,0.207,0.147,0.14,0.189,0.317,0.10493799999999998
Chronos-2 120M (independent quantile sampling),6,BDX,0.224,0.231,0.182,0.196,0.167,0.1381718
Chronos-2 120M (independent quantile sampling),6,BF-B,0.189,0.211,0.213,0.226,0.161,0.11948220000000001
Chronos-2 120M (independent quantile sampling),6,BMY,0.164,0.238,0.257,0.231,0.11,0.06337620000000001
Chronos-2 120M (independent quantile sampling),6,BR,0.212,0.169,0.168,0.225,0.226,0.21811640000000004
Chronos-2 120M (independent quantile sampling),6,CARR,0.166,0.146,0.147,0.193,0.348,0.15213699999999997
Chronos-2 120M (independent quantile sampling),6,CDW,0.243,0.17,0.155,0.178,0.254,0.22175160000000002
Chronos-2 120M (independent quantile sampling),6,CE,0.243,0.172,0.12,0.182,0.283,0.13951760000000002
Chronos-2 120M (independent quantile sampling),6,CHTR,0.312,0.179,0.149,0.182,0.178,0.17874179999999995
Chronos-2 120M (independent quantile sampling),6,CNC,0.282,0.142,0.15,0.169,0.257,0.13096499999999997
Chronos-2 120M (independent quantile sampling),6,CNP,0.15,0.176,0.189,0.274,0.211,0.20330439999999994
Chronos-2 120M (independent quantile sampling),6,COP,0.223,0.111,0.11,0.142,0.414,0.14036339999999997
Chronos-2 120M (independent quantile sampling),6,CTAS,0.173,0.192,0.156,0.235,0.244,0.20122620000000002
Chronos-2 120M (independent quantile sampling),6,CZR,0.402,0.085,0.061,0.093,0.359,0.16559160000000003
Chronos-2 120M (independent quantile sampling),6,DG,0.212,0.193,0.179,0.204,0.212,0.12339379999999997
